state,method,weight_factor,minority_threshold,district_id,minority_pct,is_mm,polsby_popper,reock,convex_hull_ratio,internal_edges,num_tracts
AL,baseline,1.0,,0,0.366289304316047,False,0.30256637034565675,0.6118217850294492,0.8312557202506028,607,201
AL,baseline,1.0,,1,0.49044342135121627,False,0.17618082180897612,0.6044457058466607,0.7751011626827425,683,239
AL,baseline,1.0,,2,0.3945821235712733,False,0.20621206228839745,0.646051930747282,0.7344530775309994,577,212
AL,baseline,1.0,,3,0.32803472233829767,False,0.22117832179581137,0.5308272753338156,0.7936879895327367,564,201
AL,baseline,1.0,,4,0.4343251982500268,False,0.21716566127520395,0.5548653507406832,0.733169592979918,585,198
AL,baseline,1.0,,5,0.3050072025031833,False,0.27698485708740156,0.6184678031407608,0.7946281465812234,529,186
AL,baseline,1.0,,6,0.2626516574427707,False,0.23942704772534748,0.6194444574848246,0.7251368390286452,551,200
GA,baseline,1.0,,0,0.7690249691073495,True,0.21078166979262022,0.4467254419893027,0.6906949642819855,677,234
GA,baseline,1.0,,1,0.7598389993803646,True,0.17273170123580003,0.4940533825513789,0.7167679386340328,505,181
GA,baseline,1.0,,2,0.4484570314031955,False,0.20993392185663767,0.483496954053457,0.7679557237718623,570,201
GA,baseline,1.0,,3,0.48089933470253793,False,0.1402366512871386,0.637140217401233,0.7163714766804157,597,213
GA,baseline,1.0,,4,0.450961203016164,False,0.12108864916991154,0.5135116428670871,0.6771294043127235,548,200
GA,baseline,1.0,,5,0.4336226907888022,False,0.27177137413601465,0.5775481603617109,0.7846708433046059,657,227
GA,baseline,1.0,,6,0.4768515791967187,False,0.16749655296313043,0.5146822805777754,0.6897865803914389,684,239
GA,baseline,1.0,,7,0.6042007933265547,True,0.19622694031132212,0.5542697876027343,0.7032147884508508,647,217
GA,baseline,1.0,,8,0.4344294922744221,False,0.2780257759888519,0.6239090553298174,0.8172720941102241,536,182
GA,baseline,1.0,,9,0.43050968222669683,False,0.2189979846277682,0.5711104219569539,0.7420828673834696,482,171
GA,baseline,1.0,,10,0.6158228361179174,True,0.2308605666818286,0.5511164377284726,0.7985705384914601,537,183
GA,baseline,1.0,,11,0.5623907491338435,True,0.2521203788441284,0.6399430397414041,0.7842745263137489,492,168
GA,baseline,1.0,,12,0.24145098433709283,False,0.20961968384068588,0.6631493450069297,0.8213680721308173,492,185
GA,baseline,1.0,,13,0.28388868421946484,False,0.18188049262296382,0.5764410400920595,0.7421700961320179,540,195
LA,baseline,1.0,,0,0.47936180632523134,False,0.28822658404385537,0.6268689447204827,0.786125334842186,572,187
LA,baseline,1.0,,1,0.5238466384362387,True,0.09436626200133867,0.2761819842268209,0.38756815984183407,854,283
LA,baseline,1.0,,2,0.45216809866694496,False,0.17426935757456485,0.5172120249916962,0.672068576289988,660,227
LA,baseline,1.0,,3,0.47767842204564703,False,0.38543417097469235,0.6905144181096351,0.9145854262487401,670,232
LA,baseline,1.0,,4,0.35325473230445564,False,0.17613144142457846,0.5296256476435645,0.7154141540354936,645,223
LA,baseline,1.0,,5,0.3686499000207298,False,0.1486195079369689,0.5345819585402412,0.7547792139746399,672,236
MS,baseline,1.0,,0,0.5255337588284844,True,0.25757195297791374,0.6971193383410379,0.8605124306086054,601,213
MS,baseline,1.0,,1,0.3454003297874208,False,0.3950208437027169,0.7656510790615889,0.9126964858480706,715,237
MS,baseline,1.0,,2,0.3766271364833018,False,0.27498726569954024,0.6791888830288582,0.8088581697763338,555,201
MS,baseline,1.0,,3,0.538227083996998,True,0.20857295127750433,0.5979840256781154,0.7938103254973146,623,227
SC,baseline,1.0,,0,0.3658635099018577,False,0.16964843538643873,0.5945661269812268,0.6392298312999214,475,174
SC,baseline,1.0,,1,0.33091831785586084,False,0.3844393691204367,0.6990675602317387,0.8731252876659775,519,174
SC,baseline,1.0,,2,0.28304529377020515,False,0.2735950723114476,0.5970284783130395,0.7777575256965811,589,201
SC,baseline,1.0,,3,0.37405189620758483,False,0.25906512858583364,0.6054564068310575,0.8068438713912752,484,166
SC,baseline,1.0,,4,0.3769240740361721,False,0.2567628062056354,0.6546631201496487,0.789329077914293,555,194
SC,baseline,1.0,,5,0.46321461179736406,False,0.19871650841484817,0.6697597753566357,0.7790891500746842,610,214
SC,baseline,1.0,,6,0.4584787150263601,False,0.12567296132913985,0.4413133133462389,0.6213250962935929,605,200
AL,edge_weighted,1.0,0.4,0,0.366289304316047,False,0.30256637034565675,0.6118217850294492,0.8312557202506028,607,201
AL,edge_weighted,1.0,0.4,1,0.49044342135121627,False,0.17618082180897612,0.6044457058466607,0.7751011626827425,683,239
AL,edge_weighted,1.0,0.4,2,0.3945821235712733,False,0.20621206228839745,0.646051930747282,0.7344530775309994,577,212
AL,edge_weighted,1.0,0.4,3,0.32803472233829767,False,0.22117832179581137,0.5308272753338156,0.7936879895327367,564,201
AL,edge_weighted,1.0,0.4,4,0.4343251982500268,False,0.21716566127520395,0.5548653507406832,0.733169592979918,585,198
AL,edge_weighted,1.0,0.4,5,0.3050072025031833,False,0.27698485708740156,0.6184678031407608,0.7946281465812234,529,186
AL,edge_weighted,1.0,0.4,6,0.2626516574427707,False,0.23942704772534748,0.6194444574848246,0.7251368390286452,551,200
AL,edge_weighted,1.0,0.45,0,0.366289304316047,False,0.30256637034565675,0.6118217850294492,0.8312557202506028,607,201
AL,edge_weighted,1.0,0.45,1,0.49044342135121627,False,0.17618082180897612,0.6044457058466607,0.7751011626827425,683,239
