state,method,weight_factor,minority_threshold,mm_count,target_mm,max_minority_pct,edge_cut_unweighted,avg_polsby_popper,avg_reock,avg_convex_hull_ratio,avg_internal_edges,success,minority_tracts,minority_edges,edge_cut_weighted,mm_avg_polsby_popper,non_mm_avg_polsby_popper,mm_avg_internal_edges,non_mm_avg_internal_edges
AL,baseline,1.0,,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,,,,,,,,
GA,baseline,1.0,,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,,,,,,,,
LA,baseline,1.0,,1,2,0.5238466384362387,194,0.21117455399266646,0.5291641630387401,0.7050901442054803,678.8333333333334,,,,,,,,
MS,baseline,1.0,,2,2,0.538227083996998,100,0.2840382534144188,0.6849858315274001,0.8439693529325811,623.5,,,,,,,,
SC,baseline,1.0,,0,3,0.46321461179736406,216,0.23827146876482572,0.6088363973156551,0.7552428343337608,548.1428571428571,,,,,,,,
AL,edge_weighted,1.0,0.4,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,581.0,1268.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,1.0,0.45,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,507.0,1034.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,1.0,0.5,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,439.0,880.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,1.0,0.55,0,2,0.49044342135121627,280,0.23424502033239927,0.5979891869033537,0.7696332183695525,585.1428571428571,False,391.0,780.0,280.0,,0.23424502033239927,,585.1428571428571
AL,edge_weighted,5.0,0.4,2,2,0.508297658686116,276,0.22788604977679547,0.5950506286428414,0.7625369652204528,585.7142857142857,True,581.0,1268.0,320.0,0.25674570892679266,0.2163421861167966,610.5,575.8
AL,edge_weighted,5.0,0.45,2,2,0.5355647079619904,254,0.24178594260849548,0.5618509626656941,0.7691731035454763,588.8571428571429,True,507.0,1034.0,278.0,0.12612265155099636,0.2880512590314951,617.0,577.6
AL,edge_weighted,5.0,0.5,1,2,0.504271836269277,342,0.14746483191573792,0.51522065813281,0.7020260757058686,576.2857142857143,False,439.0,880.0,402.0,0.08653959107459334,0.15761903872259533,569.0,577.5
AL,edge_weighted,5.0,0.55,1,2,0.5327195611635915,572,0.09811442198084712,0.49021022397117797,0.6296710601416394,543.4285714285714,False,391.0,780.0,656.0,0.057517715651184076,0.10488053970245763,534.0,545.0
AL,edge_weighted,10.0,0.4,0,2,0.4979713695169563,302,0.1937497105129633,0.5580720411452499,0.7466874362168172,582.0,False,581.0,1268.0,446.0,,0.1937497105129633,,582.0
AL,edge_weighted,10.0,0.45,1,2,0.5002229927861833,358,0.1887346567926697,0.542931906175592,0.7243752733956553,574.0,False,507.0,1034.0,466.0,0.21734129684205092,0.18396688345110615,629.0,564.8333333333334
AL,edge_weighted,10.0,0.5,1,2,0.5589297729682139,279,0.20283644552801133,0.5770539495296576,0.756264204542954,585.2857142857143,False,439.0,880.0,288.0,0.17462690639991668,0.20753803538269378,667.0,571.6666666666666
AL,edge_weighted,10.0,0.55,0,2,0.48773618920472817,299,0.19704900611127113,0.5391149073259339,0.7215746259931926,582.4285714285714,False,391.0,780.0,362.0,,0.19704900611127113,,582.4285714285714
AL,edge_weighted,50.0,0.4,2,2,0.5183835476209404,387,0.1636719549324074,0.5619053820091776,0.7163884869402335,569.8571428571429,True,581.0,1268.0,1367.0,0.11206437733722643,0.1843149859704798,582.0,565.0
AL,edge_weighted,50.0,0.45,0,2,0.47685465318926457,433,0.14723721424270292,0.5005721423259153,0.6887321639397481,563.2857142857143,False,507.0,1034.0,1266.0,,0.14723721424270292,,563.2857142857143
AL,edge_weighted,50.0,0.5,1,2,0.5570116916021655,253,0.21821668967204647,0.5810353032323626,0.7723299689245872,589.0,False,439.0,880.0,302.0,0.20076631665812805,0.22112508517436616,668.0,575.8333333333334
AL,edge_weighted,50.0,0.55,1,2,0.50547702491127,293,0.21523373175900856,0.6066310471212873,0.7794108755438799,583.2857142857143,False,391.0,780.0,489.0,0.1603861798696941,0.22437499040722764,580.0,583.8333333333334
AL,edge_weighted,100.0,0.4,1,2,0.5302437074396442,311,0.21754696913628677,0.5797348278037073,0.7393439284853223,580.7142857142857,False,581.0,1268.0,2984.0,0.08254832282158218,0.2400467435220709,596.0,578.1666666666666
AL,edge_weighted,100.0,0.45,2,2,0.5140733494697151,490,0.1302847434778926,0.5075852244577974,0.6865267738500582,555.1428571428571,True,507.0,1034.0,4549.0,0.1396412209045557,0.12654215250722733,586.0,542.8
AL,edge_weighted,100.0,0.5,1,2,0.5570116916021655,253,0.21821668967204647,0.5810353032323626,0.7723299689245872,589.0,False,439.0,880.0,352.0,0.20076631665812805,0.22112508517436616,668.0,575.8333333333334
AL,edge_weighted,100.0,0.55,1,2,0.5194745493550275,344,0.19883342697662876,0.5659033162826553,0.7035212116273072,576.0,False,391.0,780.0,1334.0,0.1174113036299626,0.21240378086773978,659.0,562.1666666666666
GA,edge_weighted,1.0,0.4,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1599.0,3936.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,1.0,0.45,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1425.0,3398.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,1.0,0.5,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1275.0,3000.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,1.0,0.55,5,5,0.7690249691073495,742,0.20441231023991444,0.5605069433757368,0.7465949938849751,568.8571428571429,True,1118.0,2564.0,742.0,0.21254425137313987,0.19989456516590032,571.6,567.3333333333334
GA,edge_weighted,5.0,0.4,6,5,0.8381016444403808,747,0.2064311233841621,0.5545975423916777,0.7361267268807012,568.5,True,1599.0,3936.0,1587.0,0.2278896425921162,0.19033723397819657,577.0,562.125
GA,edge_weighted,5.0,0.45,5,5,0.7789511998476218,747,0.23179440670323878,0.56897441851467,0.7481921211932656,568.5,True,1425.0,3398.0,1463.0,0.23287259795062268,0.2311954115658033,577.0,563.7777777777778
GA,edge_weighted,5.0,0.5,6,5,0.7847208875116856,760,0.2064864016343706,0.5620501976395822,0.736598339950208,567.5714285714286,True,1275.0,3000.0,1296.0,0.22016746872291468,0.19622560131796257,575.6666666666666,561.5
GA,edge_weighted,5.0,0.55,6,5,0.7905301134604051,659,0.24971984749392306,0.5954076060941516,0.7582139812370562,574.7857142857143,True,1118.0,2564.0,1059.0,0.2336587517211276,0.26176566932351963,568.8333333333334,579.25
GA,edge_weighted,10.0,0.4,6,5,0.7424297987239334,803,0.19299438545039932,0.5472726284136089,0.7270166769689025,564.5,True,1599.0,3936.0,2549.0,0.1695483050347485,0.21057894576213745,539.5,583.25
GA,edge_weighted,10.0,0.45,8,5,0.7274769232380244,805,0.19454022668774873,0.5282009487105205,0.7048125799389255,564.3571428571429,True,1425.0,3398.0,2029.0,0.1869972968014881,0.20459746653609626,574.0,551.5
