state,state_name,target_mm,baseline_edge_cut,baseline_pp,best_weight,best_threshold,best_edge_cut,edge_cut_change_pct,best_pp,pp_change_pct,mm_pp,mm_change_pct,non_mm_pp,non_mm_change_pct,pattern
AL,Alabama,2,280,0.2342450203323992,5.0,0.45,254.0,-9.285714285714286,0.2417859426084954,3.2192455000304543,0.1261226515509963,-46.15780887379151,0.2880512590314951,22.97006724955928,"MM sacrifice, Non-MM gain"
GA,Georgia,5,742,0.2044123102399144,5.0,0.55,659.0,-11.185983827493262,0.249719847493923,22.16477921551403,0.2336587517211276,14.307573475827983,0.2617656693235196,28.057683520278577,Both gain
LA,Louisiana,2,194,0.2111745539926664,5.0,0.45,355.0,82.98969072164948,0.1202501664034446,-43.056507457986335,0.1029972630653989,-51.22648012365365,0.1288766180724674,-38.97152112515272,Both sacrifice
MS,Mississippi,2,100,0.2840382534144188,1.0,0.4,100.0,0.0,0.2840382534144188,0.0,0.233072452127709,-17.943287805093433,0.3350040547011286,17.943287805093444,"MM sacrifice, Non-MM gain"
SC,South Carolina,3,216,0.2382714687648257,,,,,,,,,,,No success
