state,weight,max_minority_pct,baseline,delta_pct,ratio
AL,1,0.4904434213512162,0.4904434213512162,0.0,0.0
AL,5,0.508297658686116,0.4904434213512162,1.785423733489977,0.3570847466979954
AL,10,0.4979713695169563,0.4904434213512162,0.7527948165740095,0.07527948165740095
AL,50,0.5183835476209404,0.4904434213512162,2.7940126269724197,0.055880252539448394
AL,100,0.5302437074396442,0.4904434213512162,3.9800286088428005,0.039800286088428005
AL,500,0.5302437074396442,0.4904434213512162,3.9800286088428005,0.007960057217685602
AL,1000,0.5302437074396442,0.4904434213512162,3.9800286088428005,0.003980028608842801
GA,1,0.7690249691073495,0.7690249691073495,0.0,0.0
GA,5,0.8381016444403808,0.7690249691073495,6.90766753330313,1.381533506660626
GA,10,0.7424297987239334,0.7690249691073495,-2.659517038341608,-0.2659517038341608
GA,50,0.7364751892742007,0.7690249691073495,-3.2549779833148773,-0.06509955966629755
GA,100,0.7154836386785709,0.7690249691073495,-5.354133042877862,-0.05354133042877862
GA,500,0.7198558617904349,0.7690249691073495,-4.916910731691459,-0.009833821463382918
GA,1000,0.7198558617904349,0.7690249691073495,-4.916910731691459,-0.004916910731691459
LA,1,0.5238466384362387,0.5238466384362387,0.0,0.0
LA,5,0.5583305004429611,0.5238466384362387,3.4483862006722377,0.6896772401344475
LA,10,0.6080912716051768,0.5238466384362387,8.424463316893815,0.8424463316893815
LA,50,0.6198626124241117,0.5238466384362387,9.601597398787298,0.19203194797574596
LA,100,0.5984092405244301,0.5238466384362387,7.456260208819144,0.07456260208819143
LA,500,0.6030937257819923,0.5238466384362387,7.924708734575359,0.015849417469150716
LA,1000,0.6030937257819923,0.5238466384362387,7.924708734575359,0.007924708734575358
MS,1,0.538227083996998,0.538227083996998,0.0,0.0
MS,5,0.6007178671255821,0.538227083996998,6.249078312858403,1.2498156625716805
MS,10,0.5262871697618078,0.538227083996998,-1.1939914235190252,-0.11939914235190252
MS,50,0.6139256476582561,0.538227083996998,7.569856366125805,0.1513971273225161
MS,100,0.5483094558968247,0.538227083996998,1.0082371899826637,0.010082371899826637
MS,500,0.5483094558968247,0.538227083996998,1.0082371899826637,0.0020164743799653273
MS,1000,0.5483094558968247,0.538227083996998,1.0082371899826637,0.0010082371899826637
SC,1,0.463214611797364,0.463214611797364,0.0,0.0
SC,5,0.475790791243163,0.463214611797364,1.2576179445798974,0.2515235889159795
SC,10,0.5190376626216245,0.463214611797364,5.582305082426053,0.5582305082426053
SC,50,0.5401686652164883,0.463214611797364,7.695405341912432,0.15390810683824863
SC,100,0.4444190405259433,0.463214611797364,-1.879557127142073,-0.01879557127142073
SC,500,0.4444190405259433,0.463214611797364,-1.879557127142073,-0.003759114254284146
SC,1000,0.4444190405259433,0.463214611797364,-1.879557127142073,-0.001879557127142073
