state,method,k,target_mm,state_minority_pct,weight_factor,minority_threshold,runtime,skipped,max_minority_pct,mm_count,success,error
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,1,0.4,14.199455738067627,False,0.4530076476015789,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,1,0.45,13.059526443481445,False,0.4530076476015789,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,1,0.5,13.03690767288208,False,0.4530076476015789,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,1,0.55,13.715351581573486,False,0.4530076476015789,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,5,0.4,15.767801761627197,False,0.4699376560191553,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,5,0.45,15.310434818267822,False,0.45901864253740154,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,5,0.5,14.451605558395386,False,0.4471702587887749,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,5,0.55,14.922614574432373,False,0.44642296643399204,0.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,10,0.4,14.75162386894226,False,0.5109711175690833,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,10,0.45,14.698799848556519,False,0.5214052521777905,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,10,0.5,13.603652238845825,False,0.5339908665325477,2.0,True,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,10,0.55,13.85432744026184,False,0.5765848363154217,2.0,True,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,50,0.4,13.542623043060303,False,0.5197917862015325,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,50,0.45,14.219312191009521,False,0.5292928842506255,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,50,0.5,14.753937721252441,False,0.5339908665325477,2.0,True,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,50,0.55,14.231387853622437,False,0.5576765255820506,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,100,0.4,13.64116907119751,False,0.5086937911039611,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,100,0.45,12.667969942092896,False,0.5332168444794159,1.0,False,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,100,0.5,13.188470840454102,False,0.5469186849060033,2.0,True,
alabama,recursive_bisection,7.0,2.0,0.3687948061801504,100,0.55,13.675859451293945,False,0.5157120865020449,1.0,False,
alaska,,,,,1,0.4,,True,,,,Single-district state
alaska,,,,,1,0.45,,True,,,,Single-district state
alaska,,,,,1,0.5,,True,,,,Single-district state
alaska,,,,,1,0.55,,True,,,,Single-district state
alaska,,,,,5,0.4,,True,,,,Single-district state
alaska,,,,,5,0.45,,True,,,,Single-district state
alaska,,,,,5,0.5,,True,,,,Single-district state
alaska,,,,,5,0.55,,True,,,,Single-district state
alaska,,,,,10,0.4,,True,,,,Single-district state
alaska,,,,,10,0.45,,True,,,,Single-district state
alaska,,,,,10,0.5,,True,,,,Single-district state
alaska,,,,,10,0.55,,True,,,,Single-district state
alaska,,,,,50,0.4,,True,,,,Single-district state
alaska,,,,,50,0.45,,True,,,,Single-district state
alaska,,,,,50,0.5,,True,,,,Single-district state
