state,state_minority_pct,num_districts,target_mm,mm_proportion,success_rate,success_count,total_configs,mm_count_max,max_minority_pct,achieves_target,category
hawaii,0.784,2,2,1.0,1.0,15,15,2,0.8091,True,Above (>=42%)
california,0.6531,52,34,0.6538,1.0,15,15,44,0.9835,True,Above (>=42%)
new_mexico,0.635,3,2,0.6667,1.0,15,15,3,0.6874,True,Above (>=42%)
texas,0.6025,38,23,0.6053,1.0,15,15,29,0.9357,True,Above (>=42%)
nevada,0.5407,4,2,0.5,1.0,15,15,3,0.7438,True,Above (>=42%)
maryland,0.5283,8,4,0.5,1.0,15,15,6,0.8875,True,Above (>=42%)
georgia,0.4994,14,7,0.5,0.4,6,15,8,0.8299,True,Above (>=42%)
florida,0.4846,28,14,0.5,0.0,0,15,12,0.9417,False,Above (>=42%)
new_jersey,0.4815,12,6,0.5,0.4667,7,15,6,0.8365,True,Above (>=42%)
new_york,0.4753,26,12,0.4615,0.0667,1,15,12,0.9355,True,Above (>=42%)
arizona,0.4663,9,4,0.4444,0.2,3,15,4,0.7376,True,Above (>=42%)
mississippi,0.4465,4,2,0.5,0.8667,13,15,2,0.6485,True,Above (>=42%)
louisiana,0.4425,6,3,0.5,0.0667,1,15,3,0.6158,True,Above (>=42%)
illinois,0.4168,17,7,0.4118,0.0,0,15,5,0.9155,False,Borderline (37-42%)
virginia,0.414,11,5,0.4545,0.0667,1,15,5,0.5945,True,Borderline (37-42%)
north_carolina,0.3954,14,6,0.4286,0.0,0,15,3,0.619,False,Borderline (37-42%)
oklahoma,0.392,5,2,0.4,0.0,0,15,1,0.5137,False,Borderline (37-42%)
south_carolina,0.379,7,3,0.4286,0.0,0,15,1,0.5524,False,Borderline (37-42%)
alabama,0.3688,7,3,0.4286,0.0,0,15,2,0.585,False,Below (<37%)
connecticut,0.3679,5,2,0.4,0.0,0,15,1,0.5096,False,Below (<37%)
washington,0.3616,10,4,0.4,0.0,0,15,2,0.5796,False,Below (<37%)
colorado,0.3487,8,3,0.375,0.0,0,15,2,0.531,False,Below (<37%)
massachusetts,0.3245,9,3,0.3333,0.0,0,15,1,0.5227,False,Below (<37%)
arkansas,0.3148,4,1,0.25,0.0,0,15,0,0.467,False,Below (<37%)
rhode_island,0.3129,2,1,0.5,0.0,0,15,0,0.4826,False,Below (<37%)
tennessee,0.2909,9,3,0.3333,0.0,0,15,1,0.7474,False,Below (<37%)
oregon,0.2835,6,2,0.3333,0.0,0,15,0,0.3904,False,Below (<37%)
kansas,0.2775,4,1,0.25,0.0,0,15,0,0.3806,False,Below (<37%)
michigan,0.276,13,4,0.3077,0.0,0,15,2,0.7664,False,Below (<37%)
pennsylvania,0.2653,17,5,0.2941,0.0,0,15,2,0.7934,False,Below (<37%)
utah,0.2464,4,1,0.25,0.0,0,15,0,0.3756,False,Below (<37%)
indiana,0.2453,9,2,0.2222,0.0,0,15,1,0.5467,False,Below (<37%)
nebraska,0.2431,3,1,0.3333,0.0,0,15,0,0.3619,False,Below (<37%)
missouri,0.2422,8,2,0.25,0.0,0,15,1,0.6351,False,Below (<37%)
ohio,0.2411,15,4,0.2667,0.0,0,15,2,0.64,False,Below (<37%)
minnesota,0.237,8,2,0.25,0.0,0,15,0,0.4439,False,Below (<37%)
wisconsin,0.2137,8,2,0.25,0.0,0,15,1,0.6231,False,Below (<37%)
idaho,0.2113,2,1,0.5,0.0,0,15,0,0.2476,False,Below (<37%)
kentucky,0.1867,6,1,0.1667,0.0,0,15,0,0.3915,False,Below (<37%)
iowa,0.1731,4,1,0.25,0.0,0,15,0,0.2445,False,Below (<37%)
new_hampshire,0.1284,2,1,0.5,0.0,0,15,0,0.1586,False,Below (<37%)
west_virginia,0.1086,2,1,0.5,0.0,0,15,0,0.111,False,Below (<37%)
maine,0.0984,2,1,0.5,0.0,0,15,0,0.1182,False,Below (<37%)
