state,minority_pct,num_districts,target_mm,max_mm,feasibility_rate,proportionality_rate
hawaii,0.7840,2,2,2,1.0000,1.0000
california,0.6531,52,34,44,1.0000,1.0000
new_mexico,0.6350,3,2,3,1.0000,1.0000
texas,0.6025,38,23,29,1.0000,1.0000
nevada,0.5407,4,2,3,1.0000,1.0000
maryland,0.5283,8,4,6,1.0000,1.0000
georgia,0.4994,14,7,8,1.0000,0.4000
florida,0.4846,28,14,12,1.0000,0.0000
new_jersey,0.4815,12,6,6,1.0000,0.4667
new_york,0.4753,26,12,12,1.0000,0.0667
arizona,0.4663,9,4,4,1.0000,0.2000
mississippi,0.4465,4,2,2,1.0000,0.8667
louisiana,0.4425,6,3,3,1.0000,0.0667
illinois,0.4168,17,7,5,1.0000,0.0000
virginia,0.4140,11,5,5,1.0000,0.0667
north_carolina,0.3954,14,6,3,1.0000,0.0000
oklahoma,0.3920,5,2,1,0.6000,0.0000
south_carolina,0.3790,7,3,1,0.4000,0.0000
alabama,0.3688,7,3,2,1.0000,0.0000
connecticut,0.3679,5,2,1,0.3333,0.0000
washington,0.3616,10,4,2,0.6667,0.0000
colorado,0.3487,8,3,2,0.6667,0.0000
massachusetts,0.3245,9,3,1,0.6000,0.0000
arkansas,0.3148,4,1,0,0.0000,0.0000
rhode_island,0.3129,2,1,0,0.0000,0.0000
tennessee,0.2909,9,3,1,1.0000,0.0000
oregon,0.2835,6,2,0,0.0000,0.0000
kansas,0.2775,4,1,0,0.0000,0.0000
michigan,0.2760,13,4,2,1.0000,0.0000
pennsylvania,0.2653,17,5,2,1.0000,0.0000
utah,0.2464,4,1,0,0.0000,0.0000
indiana,0.2453,9,2,1,0.2667,0.0000
nebraska,0.2431,3,1,0,0.0000,0.0000
missouri,0.2422,8,2,1,1.0000,0.0000
ohio,0.2411,15,4,2,1.0000,0.0000
minnesota,0.2370,8,2,0,0.0000,0.0000
wisconsin,0.2137,8,2,1,1.0000,0.0000
idaho,0.2113,2,1,0,0.0000,0.0000
kentucky,0.1867,6,1,0,0.0000,0.0000
iowa,0.1731,4,1,0,0.0000,0.0000
new_hampshire,0.1284,2,1,0,0.0000,0.0000
west_virginia,0.1086,2,1,0,0.0000,0.0000
maine,0.0984,2,1,0,0.0000,0.0000
