state_name,Predetermined,Adaptive,N-way
Alabama,50.8,50.8,50.8
Georgia,83.8,83.8,83.8
Louisiana,55.8,55.8,55.8
Mississippi,60.1,60.1,60.1
South Carolina,47.6,47.6,47.6
