state,n_runs,success_rate,success_ci_lower,success_ci_upper,mm_mean,mm_std,minority_mean,minority_std
AL,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,51.269601605392545,7.226896453227138e-15
GA,30,1.0,0.886482908609522,1.0,5.0,0.0,89.69559649295633,4.336137871936283e-14
LA,30,0.0,-1.2302421700937121e-17,0.11351709139047801,0.0,0.0,49.20347263103487,7.226896453227138e-15
MS,30,1.0,0.886482908609522,1.0,2.0,0.0,54.34616309313052,1.4453792906454277e-14
SC,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,52.239420452655466,1.4453792906454277e-14
