state,k,target_mm,ubvec_pop,ubvec_minority,mm_count,success,max_minority_pct,edge_cut,district_pcts,runtime
AL,7,2,1.005,1.3,0,False,0.46792195132850883,217,"[0.3732840739835049, 0.38863393412755604, 0.46792195132850883, 0.3092396677596117, 0.31633553133295456, 0.4323693505909959, 0.29407186477614183]",6.172940254211426
AL,7,2,1.005,1.5,0,False,0.4965454489803301,229,"[0.3706413333689138, 0.4721159050222734, 0.38924313911223396, 0.32088289269421416, 0.2206818096583451, 0.3111116677312026, 0.4965454489803301]",5.348138332366943
AL,7,2,1.005,2.0,0,False,0.4874199727466312,222,"[0.3689334689634855, 0.4640803102517674, 0.396436860087243, 0.31988397107447913, 0.24197564253411327, 0.3014158954218499, 0.4874199727466312]",5.230382442474365
AL,7,2,1.005,5.0,1,False,0.5044909452158833,208,"[0.37105812270723254, 0.3986383255829486, 0.4622735629791515, 0.3027896930001587, 0.5044909452158833, 0.22300142802595344, 0.31796952024464015]",4.917783975601196
GA,14,5,1.005,1.3,7,True,0.6478515247832736,654,"[0.21318228907395698, 0.4762546377660613, 0.5185116652419574, 0.5415015123117436, 0.6297962606551015, 0.43451004848111635, 0.5487101677121472, 0.4336098828225767, 0.4697454364606646, 0.5321991143876857, 0.4027901812020249, 0.48702583636879637, 0.6476008963913963, 0.6478515247832736]",7.310821533203125
GA,14,5,1.005,1.5,5,True,0.7467322607508425,655,"[0.5067707604702615, 0.7279094652029356, 0.631966311709945, 0.4975679405286771, 0.45115562642628054, 0.47485119606140336, 0.442313333979516, 0.2147105440735684, 0.3311096181574595, 0.4834189280609438, 0.6796096775529645, 0.7467322607508425, 0.40044012807493834, 0.37847380985380047]",7.6609063148498535
GA,14,5,1.005,2.0,4,False,0.8498128267796925,682,"[0.18781713184551183, 0.36820041084274313, 0.45795811119278335, 0.4260464804682316, 0.4741027069694015, 0.45718727160937805, 0.49109967487514533, 0.4543399078569254, 0.8065616097210562, 0.8498128267796925, 0.516382820219662, 0.3435099993880981, 0.4019840881083617, 0.7006522184577437]",8.635818243026733
GA,14,5,1.005,5.0,4,False,0.8471870320204345,596,"[0.19084305593724235, 0.4012538820927625, 0.4281003284808919, 0.4883263596709822, 0.42362184757619314, 0.47264171746388317, 0.5312875549195415, 0.45892917899598934, 0.8471870320204345, 0.7961689998621849, 0.44549170374274627, 0.6406316484389304, 0.4711728438219384, 0.3401428994867475]",7.694828987121582
LA,6,2,1.005,1.3,1,False,0.5064116583090409,381,"[0.4649669017013912, 0.4620913621561325, 0.5064116583090409, 0.4021794352045241, 0.45517995072406514, 0.3640424336731729]",3.7851901054382324
LA,6,2,1.005,1.5,1,False,0.5375065490071191,208,"[0.48136739553904967, 0.4383316405568722, 0.5375065490071191, 0.3482128269588544, 0.44364565552804647, 0.40355813404979696]",3.674415349960327
LA,6,2,1.005,2.0,1,False,0.5005759886732953,191,"[0.48413975730152203, 0.4707460298504396, 0.5005759886732953, 0.3777599880370439, 0.361872679148593, 0.45878859400454086]",4.092216491699219
LA,6,2,1.005,5.0,2,True,0.5320260438401186,267,"[0.5066540302887292, 0.5320260438401186, 0.43662676699756703, 0.36000425906944467, 0.38581545538417555, 0.4342116226453792]",4.233001947402954
MS,4,2,1.005,1.3,2,True,0.5341435014394145,91,"[0.38936446731039814, 0.5341435014394145, 0.5201335888105283, 0.33948750311750336]",4.235919713973999
MS,4,2,1.005,1.5,2,True,0.533521129796455,96,"[0.38279249671075977, 0.521124431916704, 0.533521129796455, 0.34756615859202933]",4.182894945144653
MS,4,2,1.005,2.0,2,True,0.533521129796455,96,"[0.38279249671075977, 0.521124431916704, 0.533521129796455, 0.34756615859202933]",4.2052295207977295
MS,4,2,1.005,5.0,2,True,0.533521129796455,96,"[0.38279249671075977, 0.521124431916704, 0.533521129796455, 0.34756615859202933]",4.414789438247681
SC,7,3,1.005,1.3,0,False,0.439035484327846,215,"[0.3786961692666718, 0.4334240794936364, 0.37661973214348354, 0.439035484327846, 0.40255881532294835, 0.33349552408055566, 0.2890139011449924]",4.132689714431763
SC,7,3,1.005,1.5,0,False,0.4268833228122942,230,"[0.42448677257322437, 0.36706010324131944, 0.4268833228122942, 0.3377977934862318, 0.28588101754166056, 0.42165905532003123, 0.38724467845362726]",4.094371557235718
SC,7,3,1.005,2.0,1,False,0.5166452095018012,294,"[0.5166452095018012, 0.35099870414227624, 0.3714617081352938, 0.43198550632129196, 0.35923380864721793, 0.28241792924743797, 0.33429107301324595]",4.441209077835083
SC,7,3,1.005,5.0,0,False,0.4622801091758963,240,"[0.4622801091758963, 0.3321630572553937, 0.4110509771764384, 0.35718530463749837, 0.45569087588706086, 0.3047049793412049, 0.3294269198648494]",5.020958662033081
