state,k,target_mm,ubvec_pop,ubvec_minority,mm_count,success,max_minority_pct,edge_cut,district_pcts,runtime
AL,7,2,1.005,1.3,0,False,0.49669627036869324,277,"[0.49669627036869324, 0.43351052241732385, 0.35212292014187696, 0.3037084555728984, 0.232605632169639, 0.39980892727409567, 0.3660897678368792]",5.904689788818359
AL,7,2,1.005,1.5,0,False,0.44724417070327344,283,"[0.44724417070327344, 0.4435707781122681, 0.35325721961047685, 0.38483044733044736, 0.4079091917897067, 0.3079206135667032, 0.23921167838674742]",5.202866315841675
AL,7,2,1.005,2.0,1,False,0.5126960160539253,246,"[0.3635673558063545, 0.4897273180734911, 0.400061313348496, 0.3046239467892221, 0.5126960160539253, 0.3071478838674533, 0.20279854136295733]",5.152626991271973
AL,7,2,1.005,5.0,1,False,0.5097713051448345,204,"[0.36982571184450913, 0.39048259650514033, 0.47156332641544796, 0.2999314048944135, 0.5097713051448345, 0.3158534602895836, 0.22450926537565621]",5.32277512550354
GA,14,5,1.005,1.3,5,True,0.8969559649295636,743,"[0.46976058969025875, 0.8969559649295636, 0.6562936046327086, 0.4609970115254804, 0.45568326689196026, 0.4227988397279187, 0.5014036603824121, 0.37256876017479224, 0.5577527051659454, 0.47022542548220897, 0.41285683122398514, 0.43824803291250136, 0.803848736374416, 0.21791342403868214]",7.069305419921875
GA,14,5,1.005,1.5,6,True,0.8262708198558703,739,"[0.4543586018682636, 0.49162287601752064, 0.38938334151370885, 0.57671403954886, 0.8262708198558703, 0.4283266778307355, 0.5075328584147305, 0.23914833094353768, 0.4558958094233692, 0.5790877484704792, 0.4522179519784769, 0.41207882796684103, 0.5450388211101015, 0.6172566286183181]",7.00322151184082
GA,14,5,1.005,2.0,6,True,0.793271783605943,634,"[0.20282103645479746, 0.44920271509241316, 0.6268372328504327, 0.6771130919857835, 0.5679803077435479, 0.4640317542946382, 0.34690046119623996, 0.3286126252444947, 0.6112689061423017, 0.793271783605943, 0.5119076466894397, 0.4916033274546221, 0.4746689166402998, 0.4285814710959407]",7.278538227081299
GA,14,5,1.005,5.0,4,False,0.8667878013789587,616,"[0.4137932383121463, 0.42305582876832787, 0.8667878013789587, 0.46508083080804796, 0.5350396750486581, 0.4825553413617006, 0.4333527156740697, 0.27379449732690053, 0.24874478129178376, 0.45918667792299833, 0.5794057002662212, 0.8303500166550191, 0.4766676873562619, 0.4930780490538936]",6.938002347946167
LA,6,2,1.005,1.3,1,False,0.5560859495129468,331,"[0.43125950125567825, 0.5560859495129468, 0.4148913230428008, 0.3705611165249498, 0.45949078892589507, 0.4228247703221604]",3.6048669815063477
LA,6,2,1.005,1.5,1,False,0.5300809862720609,214,"[0.4786027232314208, 0.5300809862720609, 0.4203769132612167, 0.40566774818047807, 0.34925146027241105, 0.4709922713660595]",3.622148275375366
LA,6,2,1.005,2.0,0,False,0.4920347263103488,267,"[0.46801607993396394, 0.47652108296512846, 0.4920347263103488, 0.3776631214164523, 0.43532263184205555, 0.40569282700205406]",3.4874258041381836
LA,6,2,1.005,5.0,1,False,0.5176251842314576,191,"[0.48066959565274087, 0.5176251842314576, 0.4559347415492794, 0.36012016184539775, 0.46101605753254166, 0.3796401369998879]",3.600841760635376
MS,4,2,1.005,1.3,2,True,0.5425030065719411,106,"[0.5372066569267512, 0.5425030065719411, 0.3410430863437559, 0.3647847618012486]",4.199220657348633
MS,4,2,1.005,1.5,2,True,0.5434616309313051,95,"[0.5434616309313051, 0.5270367709771066, 0.341832781004004, 0.374990589677683]",4.269306182861328
MS,4,2,1.005,2.0,1,False,0.5645830332127466,127,"[0.4616385773971763, 0.5645830332127466, 0.34158425863816544, 0.4176477947395761]",4.3303656578063965
MS,4,2,1.005,5.0,2,True,0.5323375377432076,96,"[0.38274381406606883, 0.5238787059490421, 0.5323375377432076, 0.34756615859202933]",4.20248007774353
SC,7,3,1.005,1.3,0,False,0.4754488981758237,322,"[0.3899037626119781, 0.4463812442575338, 0.4754488981758237, 0.3477782627673505, 0.33613187373255904, 0.35988179719597413, 0.2751864099888091]",3.957993268966675
SC,7,3,1.005,1.5,1,False,0.5332262862106635,324,"[0.42015370914008643, 0.3559684210526316, 0.5332262862106635, 0.3186542489958332, 0.30322077566267475, 0.34532344976454954, 0.3711908904492637]",3.8339474201202393
SC,7,3,1.005,2.0,1,False,0.5223942045265548,224,"[0.42381699822236696, 0.5223942045265548, 0.47481502580763235, 0.3449391776705481, 0.26594736160084026, 0.29766957384818216, 0.3241163312181047]",3.888958692550659
SC,7,3,1.005,5.0,1,False,0.5011006154461882,215,"[0.47335959632838315, 0.34195109977772625, 0.37020156675142385, 0.34338238096015766, 0.27834460870973493, 0.5011006154461882, 0.34670437123096315]",3.9461710453033447
