state,ubvec_pop,ubvec_minority,num_mm,target_mm,max_minority_pct,edge_cut,success,runtime
AL,1.005,1.1,1,2,54.91214020868257,246,False,15.990151643753052
AL,1.005,1.15,0,2,47.92441688810157,252,False,8.267055988311768
AL,1.005,1.2,0,2,49.514839419998616,324,False,7.696236610412598
AL,1.005,1.25,1,2,50.97547808420918,290,False,8.360667943954468
AL,1.005,1.3,0,2,49.66962703686932,277,False,8.840645551681519
AL,1.005,1.35,1,2,50.317188655713984,254,False,8.731408596038818
AL,1.005,1.4,0,2,49.914232991122745,310,False,9.254135370254517
AL,1.005,1.45,0,2,49.481588679414656,235,False,9.0401029586792
AL,1.005,1.5,0,2,44.72441707032734,283,False,9.259427070617676
AL,1.005,1.55,1,2,50.27588013455133,345,False,8.720083236694336
AL,1.005,1.6,1,2,50.163574486771324,226,False,9.268342018127441
AL,1.005,1.7,0,2,45.43591643943961,333,False,10.23573088645935
AL,1.005,1.8,1,2,50.66387756723925,227,False,9.711032152175903
AL,1.005,1.9,0,2,49.82995638491691,290,False,8.739659309387207
AL,1.005,2.0,1,2,51.26960160539254,246,False,8.920994758605957
AL,1.005,2.25,0,2,49.85090077026508,210,False,8.67037034034729
AL,1.005,2.5,0,2,49.53274380728597,212,False,8.49962043762207
AL,1.005,2.75,0,2,49.70688453388948,215,False,9.246633529663086
AL,1.005,3.0,1,2,50.163354868475366,220,False,8.649657964706421
AL,1.005,3.25,1,2,50.52755161798726,204,False,8.102309465408325
AL,1.005,3.5,0,2,49.996603397434384,241,False,8.235989332199097
AL,1.005,3.75,1,2,50.97713051448345,204,False,8.344265460968018
AL,1.005,4.0,1,2,50.97713051448345,204,False,8.493074893951416
AL,1.005,4.5,1,2,50.97713051448345,204,False,8.76170301437378
AL,1.005,5.0,1,2,50.97713051448345,204,False,8.51312804222107
AL,1.005,6.0,1,2,50.97713051448345,204,False,7.464377403259277
AL,1.005,7.0,1,2,50.97713051448345,204,False,8.702976703643799
AL,1.005,10.0,1,2,50.97713051448345,204,False,8.107361078262329
GA,1.005,1.1,5,5,79.46573057870164,672,True,11.586107015609741
GA,1.005,1.15,8,5,79.5359562972029,664,True,11.989771842956543
GA,1.005,1.2,7,5,71.1924376984076,632,True,11.125285863876343
GA,1.005,1.25,7,5,71.27662706555368,708,True,11.513595342636108
GA,1.005,1.3,5,5,89.69559649295637,743,True,13.009315013885498
GA,1.005,1.35,7,5,86.27835282222978,719,True,12.107731342315674
GA,1.005,1.4,7,5,82.6512898599157,631,True,13.289067268371582
GA,1.005,1.45,8,5,72.53008766924313,883,True,12.05413269996643
GA,1.005,1.5,6,5,82.62708198558703,739,True,11.965453863143921
GA,1.005,1.55,7,5,79.79427669191554,579,True,11.29704213142395
GA,1.005,1.6,6,5,76.41882552971082,631,True,11.846345663070679
GA,1.005,1.7,7,5,72.88870897622462,663,True,11.77297568321228
GA,1.005,1.8,7,5,77.69717274000627,592,True,12.279385805130005
GA,1.005,1.9,5,5,76.8539697768629,624,True,11.50334095954895
GA,1.005,2.0,6,5,79.3271783605943,634,True,11.743776559829712
GA,1.005,2.25,6,5,81.14981811456504,636,True,11.213220119476318
GA,1.005,2.5,6,5,73.73841868482468,603,True,11.608837127685547
GA,1.005,2.75,6,5,79.6030714280176,640,True,10.887109518051147
GA,1.005,3.0,7,5,78.0349527900569,644,True,10.983879327774048
GA,1.005,3.25,6,5,79.42169903221988,612,True,11.478489398956299
GA,1.005,3.5,6,5,82.02863440703695,653,True,11.597999572753906
GA,1.005,3.75,7,5,83.2949572529491,639,True,12.474974155426025
GA,1.005,4.0,6,5,76.96293607477604,582,True,12.474985599517822
GA,1.005,4.5,7,5,79.46521699548713,601,True,11.92969298362732
GA,1.005,5.0,4,5,86.67878013789587,616,False,11.646836042404175
GA,1.005,6.0,7,5,81.34200849675389,749,True,11.453794956207275
GA,1.005,7.0,7,5,70.47324116010712,643,True,11.70675253868103
GA,1.005,10.0,7,5,70.47324116010712,643,True,12.275445938110352
LA,1.005,1.1,1,2,58.88066837155957,388,False,6.299492359161377
LA,1.005,1.15,1,2,57.89049268213161,251,False,6.0557191371917725
LA,1.005,1.2,1,2,58.778718660673654,197,False,5.947499752044678
LA,1.005,1.25,1,2,57.7852005757653,252,False,6.1711108684539795
LA,1.005,1.3,1,2,55.60859495129468,331,False,5.957456350326538
