district_type,n,mean_pp,std_pp,mean_reock,mean_convex_hull
urban_mm,10,0.21446659419788192,0.08349355930510383,0.5351838027583921,0.7053486996779359
rural_mm,3,0.24753837660375178,0.03555044401168898,0.6003681966634834,0.7867704770121664
mixed_mm,6,0.18184185693153276,0.04980415041468754,0.5470896867460199,0.7193538448110869
all_mm,19,0.2093859059673301,0.0694612281700625,,
all_non_mm,50,0.23639467722481014,0.07200795218068887,,
