state,method,weight_factor,minority_threshold,district_id,minority_pct,is_mm,polsby_popper,reock,convex_hull_ratio,internal_edges,num_tracts,urbanization
AL,baseline,1.0,,0,0.366289304316047,False,0.3025663703456567,0.6118217850294492,0.8312557202506028,607,201,mixed
AL,baseline,1.0,,1,0.4904434213512162,False,0.1761808218089761,0.6044457058466607,0.7751011626827425,683,239,mixed
AL,baseline,1.0,,2,0.3945821235712733,False,0.2062120622883974,0.646051930747282,0.7344530775309994,577,212,mixed
AL,baseline,1.0,,3,0.3280347223382976,False,0.2211783217958113,0.5308272753338156,0.7936879895327367,564,201,mixed
AL,baseline,1.0,,4,0.4343251982500268,False,0.2171656612752039,0.5548653507406832,0.733169592979918,585,198,mixed
AL,baseline,1.0,,5,0.3050072025031833,False,0.2769848570874015,0.6184678031407608,0.7946281465812234,529,186,mixed
AL,baseline,1.0,,6,0.2626516574427707,False,0.2394270477253474,0.6194444574848246,0.7251368390286452,551,200,mixed
GA,baseline,1.0,,0,0.7690249691073495,True,0.2107816697926202,0.4467254419893027,0.6906949642819855,677,234,urban
GA,baseline,1.0,,1,0.7598389993803646,True,0.1727317012358,0.4940533825513789,0.7167679386340328,505,181,urban
GA,baseline,1.0,,2,0.4484570314031955,False,0.2099339218566376,0.483496954053457,0.7679557237718623,570,201,mixed
GA,baseline,1.0,,3,0.4808993347025379,False,0.1402366512871386,0.637140217401233,0.7163714766804157,597,213,mixed
GA,baseline,1.0,,4,0.450961203016164,False,0.1210886491699115,0.5135116428670871,0.6771294043127235,548,200,mixed
GA,baseline,1.0,,5,0.4336226907888022,False,0.2717713741360146,0.5775481603617109,0.7846708433046059,657,227,mixed
GA,baseline,1.0,,6,0.4768515791967187,False,0.1674965529631304,0.5146822805777754,0.6897865803914389,684,239,mixed
GA,baseline,1.0,,7,0.6042007933265547,True,0.1962269403113221,0.5542697876027343,0.7032147884508508,647,217,urban
GA,baseline,1.0,,8,0.4344294922744221,False,0.2780257759888519,0.6239090553298174,0.8172720941102241,536,182,mixed
GA,baseline,1.0,,9,0.4305096822266968,False,0.2189979846277682,0.5711104219569539,0.7420828673834696,482,171,mixed
GA,baseline,1.0,,10,0.6158228361179174,True,0.2308605666818286,0.5511164377284726,0.7985705384914601,537,183,urban
GA,baseline,1.0,,11,0.5623907491338435,True,0.2521203788441284,0.6399430397414041,0.7842745263137489,492,168,urban
