state,level,Q_2010,Q_2020,Q_avg,communities_2010,communities_2020
alabama,0,0.9930444468149975,0.9927912096754267,0.992917828245212,1,1
alabama,1,0.9781905664662555,0.9742435818706348,0.976217074168445,2,2
alabama,2,0.9571609228777258,0.9519260705793076,0.9545434967285167,4,4
georgia,0,0.9958201034747101,0.9958027405439933,0.9958114220093517,1,1
georgia,1,0.9836984137066935,0.9872552296295724,0.9854768216681329,2,2
georgia,2,0.96829643114218,0.9708160600145438,0.969556245578362,4,4
georgia,3,0.9415697365625656,0.9432664350898637,0.9424180858262147,8,8
