state,year,method,total_districts,mm_count,mm_districts,max_minority_pct,mean_minority_pct
alabama,2010,recursive,7,0,[],0.3872917622670222,0.32959370448942726
alabama,2010,nway,7,0,[],0.3699094115468565,0.32955444503748144
alabama,2020,recursive,7,0,[],0.4736634771448537,0.3687932184295127
alabama,2020,nway,7,1,[3],0.5130827518776944,0.36878807225461424
georgia,2010,recursive,14,1,[10],0.5162819348606926,0.4411444610615387
georgia,2010,nway,14,1,[9],0.5105290130885681,0.44122087273953836
georgia,2020,recursive,14,7,"[1, 2, 5, 7, 8, 12, 14]",0.8311875548338942,0.4994943957689912
georgia,2020,nway,14,8,"[0, 2, 5, 6, 7, 8, 9, 12]",0.833689917517133,0.49930811510982276
louisiana,2010,recursive,6,0,[],0.4386295230644798,0.39674436092253446
louisiana,2010,nway,6,0,[],0.44512992188745415,0.39686004301710387
louisiana,2020,recursive,6,1,[4],0.5814287815944809,0.4425056544138308
louisiana,2020,nway,6,1,[0],0.5606159131499621,0.4424464949788396
mississippi,2010,recursive,4,0,[],0.43341520890403573,0.4195582878287085
mississippi,2010,nway,4,0,[],0.43815997674944296,0.41960388821054173
mississippi,2020,recursive,4,2,"[1, 4]",0.5520557212747943,0.4465725713571405
mississippi,2020,nway,4,2,"[0, 3]",0.5337188229824483,0.44675841125986193
south_carolina,2010,recursive,7,0,[],0.4400159082523303,0.3594438232305931
south_carolina,2010,nway,7,0,[],0.4478111788510667,0.35936963363571633
south_carolina,2020,recursive,7,0,[],0.46237418927300533,0.37899596710805367
south_carolina,2020,nway,7,0,[],0.4702357367901869,0.37901229773534867
