state,k,method,tree_structure,weight_factor,minority_threshold,max_minority_pct,mm_count,target_mm,success,runtime,district_pcts,state_minority_pct,skipped,error
alabama,7.0,predetermined,"(1, 6)",5,0.4,0.508297658686116,2.0,2.0,True,6.106184244155884,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",,,
alabama,7.0,predetermined,"(2, 5)",5,0.4,0.508297658686116,2.0,2.0,True,5.032231569290161,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",,,
alabama,7.0,predetermined,"(3, 4)",5,0.4,0.508297658686116,2.0,2.0,True,5.033259153366089,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",,,
alabama,7.0,predetermined,"(4, 3)",5,0.4,0.508297658686116,2.0,2.0,True,4.942360162734985,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",,,
alabama,7.0,predetermined,"(5, 2)",5,0.4,0.508297658686116,2.0,2.0,True,5.027271270751953,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",,,
alabama,7.0,predetermined,"(6, 1)",5,0.4,0.508297658686116,2.0,2.0,True,5.3050217628479,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",,,
georgia,14.0,predetermined,"(1, 13)",5,0.4,0.8381016444403808,6.0,5.0,True,7.498632431030273,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",,,
georgia,14.0,predetermined,"(2, 12)",5,0.4,0.8381016444403808,6.0,5.0,True,7.7180352210998535,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",,,
georgia,14.0,predetermined,"(3, 11)",5,0.4,0.8381016444403808,6.0,5.0,True,7.618480443954468,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",,,
georgia,14.0,predetermined,"(4, 10)",5,0.4,0.8381016444403808,6.0,5.0,True,7.714794635772705,"[0.323935350022, 0.7625901255352633, 0.31017619946951824, 0.4792584461072869, 0.5256859799975926, 0.4762156752067066, 0.4262903984938814, 0.24839072745647456, 0.7361903878488739, 0.4767843844314663, 0.32771909828919626, 0.5070979516013695, 0.5534507610060674, 0.8381016444403808]",,,
