ubvec_minority,n_runs,success_rate,success_ci_lower,success_ci_upper,mm_mean,mm_std,minority_mean,minority_std
1.1,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,54.91214020868257,0.0
1.3,30,0.0,-1.2302421700937121e-17,0.11351709139047801,0.0,0.0,49.66962703686932,0.0
1.5,30,0.0,-1.2302421700937121e-17,0.11351709139047801,0.0,0.0,44.72441707032733,1.4453792906454277e-14
2.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,51.269601605392545,7.226896453227138e-15
2.5,30,0.0,-1.2302421700937121e-17,0.11351709139047801,0.0,0.0,49.53274380728596,7.226896453227138e-15
3.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.163354868475366,0.0
3.5,30,0.0,-1.2302421700937121e-17,0.11351709139047801,0.0,0.0,49.99660339743439,7.226896453227138e-15
4.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
4.5,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
5.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
6.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
7.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
8.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
10.0,30,0.0,-1.2302421700937121e-17,0.11351709139047801,1.0,0.0,50.977130514483434,1.4453792906454277e-14
