state,k,target_mm,method,tree_structure,weight_factor,minority_threshold,max_minority_pct,mm_count,district_pcts,runtime
alabama,7,2,predetermined,"(1, 6)",1,0.4,0.5318241697476694,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",2.7307686106141458
alabama,7,2,predetermined,"(2, 5)",1,0.4,0.5017488688213579,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",2.2504823734906485
alabama,7,2,predetermined,"(3, 4)",1,0.4,0.4972071513447557,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",2.250941923059923
alabama,7,2,predetermined,"(4, 3)",1,0.4,0.4972079289609016,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",2.21029065863247
alabama,7,2,predetermined,"(5, 2)",1,0.4,0.5830959456834697,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",2.2482640605466235
alabama,7,2,predetermined,"(6, 1)",1,0.4,0.5446466564647798,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",2.3724778567687346
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",1,0.4,0.4860613397351541,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",14.579128517839269
alabama,7,2,nway,,1,0.4,0.5339956276076769,1.0,,2.233178253038892
alabama,7,2,predetermined,"(1, 6)",2,0.4,0.5191202854328767,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.8618900048332585
alabama,7,2,predetermined,"(2, 5)",2,0.4,0.42271936660006504,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.1826626944720684
alabama,7,2,predetermined,"(3, 4)",2,0.4,0.4629951695751577,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.1833125957055186
alabama,7,2,predetermined,"(4, 3)",2,0.4,0.5223534929483418,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.1258230262246003
alabama,7,2,predetermined,"(5, 2)",2,0.4,0.5738540343360214,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.1795255262210405
alabama,7,2,predetermined,"(6, 1)",2,0.4,0.4981990073029254,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.355190361472198
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",2,0.4,0.48394819710771103,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",20.618001277508654
alabama,7,2,nway,,2,0.4,0.5132590676629959,1.0,,3.158190972644257
alabama,7,2,predetermined,"(1, 6)",3,0.4,0.4830150601168909,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.729829977297973
alabama,7,2,predetermined,"(2, 5)",3,0.4,0.49601943534660325,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.897949812424002
alabama,7,2,predetermined,"(3, 4)",3,0.4,0.507729521933397,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.898745775626581
alabama,7,2,predetermined,"(4, 3)",3,0.4,0.46377558365513655,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.8283357202463155
alabama,7,2,predetermined,"(5, 2)",3,0.4,0.5429209241648595,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",3.8941075816978628
alabama,7,2,predetermined,"(6, 1)",3,0.4,0.45690886133412145,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.109252187755566
alabama,7,2,adaptive,"adaptive_selected: (1, 6)",3,0.4,0.45239051307069844,2.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",25.251791322973954
alabama,7,2,nway,,3,0.4,0.5165841105645212,2.0,,3.867978196621268
alabama,7,2,predetermined,"(1, 6)",4,0.4,0.5374354400282206,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",5.4615372212282915
alabama,7,2,predetermined,"(2, 5)",4,0.4,0.5150593614382116,1.0,"[0.26269550860126284, 0.2360294496789829, 0.3230923322224656, 0.38226704307267634, 0.508297658686116, 0.36558216433005414, 0.5030436156455625]",4.500964746981297
