state,weight_factor,minority_threshold,mm_count,target_mm,success,max_minority_pct,minority_tracts,minority_edges,total_tracts,edge_cut_unweighted,edge_cut_weighted,avg_internal_edges
AL,1,0.4,0,2,False,0.49044342135121627,581,1268,1437,280,280.0,585.1428571428571
AL,5,0.4,2,2,True,0.508297658686116,581,1268,1437,276,320.0,585.7142857142857
AL,10,0.4,0,2,False,0.4979713695169563,581,1268,1437,302,446.0,582.0
AL,50,0.4,2,2,True,0.5183835476209404,581,1268,1437,387,1367.0,569.8571428571429
AL,100,0.4,1,2,False,0.5302437074396442,581,1268,1437,311,2984.0,580.7142857142857
AL,500,0.4,1,2,False,0.5302437074396442,581,1268,1437,311,13784.0,580.7142857142857
AL,1000,0.4,1,2,False,0.5302437074396442,581,1268,1437,311,27284.0,580.7142857142857
AL,1,0.45,0,2,False,0.49044342135121627,507,1034,1437,280,280.0,585.1428571428571
AL,5,0.45,2,2,True,0.5355647079619904,507,1034,1437,254,278.0,588.8571428571429
AL,10,0.45,1,2,False,0.5002229927861833,507,1034,1437,358,466.0,574.0
AL,50,0.45,0,2,False,0.47685465318926457,507,1034,1437,433,1266.0,563.2857142857143
AL,100,0.45,2,2,True,0.5140733494697151,507,1034,1437,490,4549.0,555.1428571428571
AL,500,0.45,0,2,False,0.49470234447950934,507,1034,1437,261,3754.0,587.8571428571429
AL,1000,0.45,0,2,False,0.49470234447950934,507,1034,1437,261,7254.0,587.8571428571429
AL,1,0.5,0,2,False,0.49044342135121627,439,880,1437,280,280.0,585.1428571428571
AL,5,0.5,1,2,False,0.504271836269277,439,880,1437,342,402.0,576.2857142857143
AL,10,0.5,1,2,False,0.5589297729682139,439,880,1437,279,288.0,585.2857142857143
AL,50,0.5,1,2,False,0.5570116916021655,439,880,1437,253,302.0,589.0
AL,100,0.5,1,2,False,0.5570116916021655,439,880,1437,253,352.0,589.0
AL,500,0.5,0,2,False,0.49412698744332784,439,880,1437,264,3258.0,587.4285714285714
AL,1000,0.5,0,2,False,0.49412698744332784,439,880,1437,264,6258.0,587.4285714285714
AL,1,0.55,0,2,False,0.49044342135121627,391,780,1437,280,280.0,585.1428571428571
AL,5,0.55,1,2,False,0.5327195611635915,391,780,1437,572,656.0,543.4285714285714
AL,10,0.55,0,2,False,0.48773618920472817,391,780,1437,299,362.0,582.4285714285714
AL,50,0.55,1,2,False,0.50547702491127,391,780,1437,293,489.0,583.2857142857143
AL,100,0.55,1,2,False,0.5194745493550275,391,780,1437,344,1334.0,576.0
AL,500,0.55,0,2,False,0.48105107183319473,391,780,1437,306,9787.0,581.4285714285714
AL,1000,0.55,0,2,False,0.48105107183319473,391,780,1437,306,19287.0,581.4285714285714
GA,1,0.4,5,5,True,0.7690249691073495,1599,3936,2796,742,742.0,568.8571428571429
GA,5,0.4,6,5,True,0.8381016444403808,1599,3936,2796,747,1587.0,568.5
GA,10,0.4,6,5,True,0.7424297987239334,1599,3936,2796,803,2549.0,564.5
GA,50,0.4,7,5,True,0.7364751892742007,1599,3936,2796,1200,15067.0,536.1428571428571
GA,100,0.4,7,5,True,0.7154836386785709,1599,3936,2796,930,27858.0,555.4285714285714
GA,500,0.4,7,5,True,0.7198558617904349,1599,3936,2796,925,109707.0,555.7857142857143
GA,1000,0.4,7,5,True,0.7198558617904349,1599,3936,2796,925,218707.0,555.7857142857143
GA,1,0.45,5,5,True,0.7690249691073495,1425,3398,2796,742,742.0,568.8571428571429
GA,5,0.45,5,5,True,0.7789511998476218,1425,3398,2796,747,1463.0,568.5
GA,10,0.45,8,5,True,0.7274769232380244,1425,3398,2796,805,2029.0,564.3571428571429
GA,50,0.45,8,5,True,0.8026004202329335,1425,3398,2796,998,9524.0,550.5714285714286
GA,100,0.45,7,5,True,0.7707474577335118,1425,3398,2796,845,15101.0,561.5
GA,500,0.45,6,5,True,0.7757668415546332,1425,3398,2796,972,93786.0,552.4285714285714
GA,1000,0.45,6,5,True,0.7757668415546332,1425,3398,2796,972,186786.0,552.4285714285714
GA,1,0.5,5,5,True,0.7690249691073495,1275,3000,2796,742,742.0,568.8571428571429
GA,5,0.5,6,5,True,0.7847208875116856,1275,3000,2796,760,1296.0,567.5714285714286
GA,10,0.5,5,5,True,0.7468070228537584,1275,3000,2796,737,1934.0,569.2142857142857
GA,50,0.5,7,5,True,0.8132849494565948,1275,3000,2796,922,9497.0,556.0
GA,100,0.5,6,5,True,0.7744178820777132,1275,3000,2796,1445,22928.0,518.6428571428571
GA,500,0.5,7,5,True,0.7955524787910057,1275,3000,2796,910,92726.0,556.8571428571429
GA,1000,0.5,7,5,True,0.7955524787910057,1275,3000,2796,910,184726.0,556.8571428571429
GA,1,0.55,5,5,True,0.7690249691073495,1118,2564,2796,742,742.0,568.8571428571429
GA,5,0.55,6,5,True,0.7905301134604051,1118,2564,2796,659,1059.0,574.7857142857143
GA,10,0.55,6,5,True,0.8221972420103261,1118,2564,2796,812,2072.0,563.8571428571429
GA,50,0.55,5,5,True,0.8130282779167597,1118,2564,2796,943,7411.0,554.5
GA,100,0.55,7,5,True,0.7994770784303995,1118,2564,2796,1429,19843.0,519.7857142857143
GA,500,0.55,7,5,True,0.8593792978481265,1118,2564,2796,833,50234.0,562.3571428571429
GA,1000,0.55,7,5,True,0.8593792978481265,1118,2564,2796,833,99734.0,562.3571428571429
LA,1,0.4,1,2,False,0.5238466384362387,688,1456,1388,194,194.0,678.8333333333334
LA,5,0.4,2,2,True,0.5583305004429611,688,1456,1388,395,571.0,645.3333333333334
LA,10,0.4,1,2,False,0.6080912716051768,688,1456,1388,367,574.0,650.0
LA,50,0.4,2,2,True,0.6198626124241117,688,1456,1388,489,2547.0,629.6666666666666
LA,100,0.4,1,2,False,0.5984092405244301,688,1456,1388,551,6590.0,619.3333333333334
LA,500,0.4,2,2,True,0.6030937257819923,688,1456,1388,435,30375.0,638.6666666666666
LA,1000,0.4,2,2,True,0.6030937257819923,688,1456,1388,435,60375.0,638.6666666666666
LA,1,0.45,1,2,False,0.5238466384362387,617,1253,1388,194,194.0,678.8333333333334
LA,5,0.45,2,2,True,0.568050598936969,617,1253,1388,355,579.0,652.0
LA,10,0.45,2,2,True,0.5717851509747122,617,1253,1388,419,734.0,641.3333333333334
LA,50,0.45,1,2,False,0.6096128734826963,617,1253,1388,240,632.0,671.1666666666666
LA,100,0.45,1,2,False,0.582619502991197,617,1253,1388,261,2043.0,667.6666666666666
LA,500,0.45,1,2,False,0.582619502991197,617,1253,1388,261,9243.0,667.6666666666666
LA,1000,0.45,1,2,False,0.582619502991197,617,1253,1388,261,18243.0,667.6666666666666
LA,1,0.5,1,2,False,0.5238466384362387,530,1005,1388,194,194.0,678.8333333333334
LA,5,0.5,1,2,False,0.5932723875462784,530,1005,1388,271,323.0,666.0
LA,10,0.5,1,2,False,0.5972522540505942,530,1005,1388,388,532.0,646.5
LA,50,0.5,2,2,True,0.555276446576654,530,1005,1388,544,2994.0,620.5
LA,100,0.5,1,2,False,0.5891054994171481,530,1005,1388,397,2773.0,645.0
LA,500,0.5,2,2,True,0.5240539583400405,530,1005,1388,331,5820.0,656.0
LA,1000,0.5,2,2,True,0.5240539583400405,530,1005,1388,331,11320.0,656.0
LA,1,0.55,1,2,False,0.5238466384362387,469,862,1388,194,194.0,678.8333333333334
LA,5,0.55,1,2,False,0.5885139752811852,469,862,1388,237,249.0,671.6666666666666
LA,10,0.55,0,2,False,0.4949057627310833,469,862,1388,394,457.0,645.5
LA,50,0.55,2,2,True,0.6189776358650501,469,862,1388,745,1725.0,587.0
LA,100,0.55,1,2,False,0.6200288993519539,469,862,1388,645,2328.0,603.6666666666666
LA,500,0.55,2,2,True,0.5999149139147979,469,862,1388,674,15145.0,598.8333333333334
LA,1000,0.55,2,2,True,0.5999149139147979,469,862,1388,674,29645.0,598.8333333333334
MS,1,0.4,2,2,True,0.538227083996998,471,927,878,100,100.0,623.5
MS,5,0.4,1,2,False,0.6007178671255821,471,927,878,241,469.0,588.25
MS,10,0.4,2,2,True,0.5262871697618078,471,927,878,142,295.0,613.0
MS,50,0.4,1,2,False,0.6139256476582561,471,927,878,234,2537.0,590.0
MS,100,0.4,2,2,True,0.5483094558968247,471,927,878,174,1164.0,605.0
MS,500,0.4,2,2,True,0.5483094558968247,471,927,878,174,5164.0,605.0
MS,1000,0.4,2,2,True,0.5483094558968247,471,927,878,174,10164.0,605.0
MS,1,0.45,2,2,True,0.538227083996998,410,749,878,100,100.0,623.5
MS,5,0.45,1,2,False,0.5589615513314552,410,749,878,201,265.0,598.25
MS,10,0.45,1,2,False,0.5165754068852938,410,749,878,122,185.0,618.0
MS,50,0.45,2,2,True,0.524674194119611,410,749,878,125,223.0,617.25
MS,100,0.45,2,2,True,0.5365859592637798,410,749,878,147,1434.0,611.75
MS,500,0.45,2,2,True,0.5333068285083734,410,749,878,125,1123.0,617.25
MS,1000,0.45,2,2,True,0.5333068285083734,410,749,878,125,2123.0,617.25
MS,1,0.5,2,2,True,0.538227083996998,361,611,878,100,100.0,623.5
MS,5,0.5,2,2,True,0.5448697621132772,361,611,878,116,136.0,619.5
MS,10,0.5,2,2,True,0.554016186345642,361,611,878,131,149.0,615.75
MS,50,0.5,1,2,False,0.5702273006379208,361,611,878,184,1066.0,602.5
MS,100,0.5,2,2,True,0.5417046151684103,361,611,878,176,671.0,604.5
MS,500,0.5,2,2,True,0.5417046151684103,361,611,878,176,2671.0,604.5
MS,1000,0.5,2,2,True,0.5417046151684103,361,611,878,176,5171.0,604.5
MS,1,0.55,2,2,True,0.538227083996998,306,504,878,100,100.0,623.5
MS,5,0.55,2,2,True,0.5528964700538577,306,504,878,132,152.0,615.5
MS,10,0.55,2,2,True,0.5210141997157082,306,504,878,127,127.0,616.75
MS,50,0.55,2,2,True,0.5222167241270051,306,504,878,128,128.0,616.5
MS,100,0.55,2,2,True,0.5329540604351373,306,504,878,155,155.0,609.75
MS,500,0.55,2,2,True,0.5329540604351373,306,504,878,155,155.0,609.75
MS,1000,0.55,2,2,True,0.5329540604351373,306,504,878,155,155.0,609.75
SC,1,0.4,0,3,False,0.46321461179736406,552,1107,1323,216,216.0,548.1428571428571
SC,5,0.4,0,3,False,0.475790791243163,552,1107,1323,304,488.0,535.5714285714286
SC,10,0.4,1,3,False,0.5190376626216245,552,1107,1323,315,747.0,534.0
SC,50,0.4,1,3,False,0.5401686652164883,552,1107,1323,386,3179.0,523.8571428571429
SC,100,0.4,0,3,False,0.4444190405259433,552,1107,1323,430,8449.0,517.5714285714286
SC,500,0.4,0,3,False,0.4444190405259433,552,1107,1323,430,40849.0,517.5714285714286
SC,1000,0.4,0,3,False,0.4444190405259433,552,1107,1323,430,81349.0,517.5714285714286
SC,1,0.45,0,3,False,0.46321461179736406,460,844,1323,216,216.0,548.1428571428571
SC,5,0.45,0,3,False,0.4885413444931943,460,844,1323,441,569.0,516.0
SC,10,0.45,1,3,False,0.5352234488175831,460,844,1323,446,923.0,515.2857142857143
SC,50,0.45,1,3,False,0.5217063403690795,460,844,1323,403,1726.0,521.4285714285714
SC,100,0.45,0,3,False,0.48855854624948764,460,844,1323,507,4665.0,506.57142857142856
SC,500,0.45,0,3,False,0.48855854624948764,460,844,1323,507,21465.0,506.57142857142856
SC,1000,0.45,0,3,False,0.48855854624948764,460,844,1323,507,42465.0,506.57142857142856
SC,1,0.5,0,3,False,0.46321461179736406,386,658,1323,216,216.0,548.1428571428571
SC,5,0.5,1,3,False,0.5048039087093389,386,658,1323,534,706.0,502.7142857142857
SC,10,0.5,1,3,False,0.5413985719251095,386,658,1323,309,624.0,534.8571428571429
SC,50,0.5,1,3,False,0.5057927530359939,386,658,1323,473,1208.0,511.42857142857144
SC,100,0.5,0,3,False,0.466446442464329,386,658,1323,337,1129.0,530.8571428571429
SC,500,0.5,1,3,False,0.5557796332503973,386,658,1323,335,15804.0,531.1428571428571
SC,1000,0.5,1,3,False,0.5557796332503973,386,658,1323,335,31304.0,531.1428571428571
SC,1,0.55,0,3,False,0.46321461179736406,307,473,1323,216,216.0,548.1428571428571
SC,5,0.55,0,3,False,0.4850129160096983,307,473,1323,281,329.0,538.8571428571429
SC,10,0.55,0,3,False,0.4708765547752713,307,473,1323,358,403.0,527.8571428571429
SC,50,0.55,0,3,False,0.4930190015504215,307,473,1323,312,753.0,534.4285714285714
SC,100,0.55,1,3,False,0.5009678821699153,307,473,1323,423,2601.0,518.5714285714286
SC,500,0.55,1,3,False,0.5036653671046132,307,473,1323,560,25510.0,499.0
SC,1000,0.55,1,3,False,0.5036653671046132,307,473,1323,560,50510.0,499.0
