GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
11001009508,11,001,009508,4243,1884,2359,511,2664,144,714,210
11001009504,11,001,009504,3208,1406,1802,884,1736,101,307,180
11001009505,11,001,009505,3796,1718,2078,380,2617,97,521,181
11001009507,11,001,009507,1525,690,835,124,1068,24,271,38
11001009509,11,001,009509,3194,1413,1781,418,2240,65,330,141
11001009510,11,001,009510,4525,2196,2329,253,2389,57,1693,133
11001009511,11,001,009511,2066,971,1095,641,574,98,647,106
11001009601,11,001,009601,2086,923,1163,56,1873,0,72,85
11001009602,11,001,009602,4481,1778,2703,60,4088,33,145,155
11001009603,11,001,009603,3971,1799,2172,87,3417,15,323,129
11001009604,11,001,009604,1996,879,1117,131,1628,4,143,90
11001009700,11,001,009700,3188,1398,1790,23,2989,4,68,104
11001009801,11,001,009801,1848,815,1033,17,1725,5,30,71
11001009802,11,001,009802,2064,854,1210,11,1938,3,51,61
11001009803,11,001,009803,2968,1403,1565,33,2675,21,84,155
11001009903,11,001,009903,2004,864,1140,49,1828,3,58,66
11001009904,11,001,009904,2886,1268,1618,59,2458,6,257,106
11001009905,11,001,009905,2790,1277,1513,46,2536,2,108,98
11001009906,11,001,009906,1773,761,1012,55,1534,8,114,62
11001009907,11,001,009907,2259,978,1281,33,2110,3,46,67
11001010100,11,001,010100,2699,1347,1352,1445,384,400,324,146
11001010201,11,001,010201,3341,1598,1743,1724,826,231,342,218
11001010202,11,001,010202,2631,1280,1351,1399,634,208,215,175
11001010300,11,001,010300,3604,1689,1915,645,1822,75,873,189
11001010400,11,001,010400,4616,2450,2166,107,4215,3,130,161
11001010500,11,001,010500,3712,1749,1963,1417,1538,240,278,239
11001010601,11,001,010601,2130,1072,1058,1092,481,204,199,154
11001010602,11,001,010602,6594,3169,3425,3715,1509,417,533,420
11001010603,11,001,010603,3068,1542,1526,1771,536,270,320,171
11001010700,11,001,010700,2296,1054,1242,1384,140,385,273,114
11001010800,11,001,010800,6879,2587,4292,4080,630,1076,714,379
11001010900,11,001,010900,3333,1542,1791,69,3024,11,106,123
11001009804,11,001,009804,2517,1107,1410,37,2242,17,136,85
11001009807,11,001,009807,3523,1642,1881,52,3212,7,103,149
11001009810,11,001,009810,2461,1108,1353,23,2287,5,50,96
11001009811,11,001,009811,4438,1886,2552,22,4197,4,70,145
11001009901,11,001,009901,2364,1096,1268,157,1972,23,80,132
11001009902,11,001,009902,2774,1270,1504,51,2546,7,69,101
11001011100,11,001,011100,5903,2748,3155,646,4393,81,472,311
11001011001,11,001,011001,2423,1091,1332,1005,932,139,182,165
11001011002,11,001,011002,1859,822,1037,1198,357,97,122,85
11001980000,11,001,980000,176,77,99,46,114,2,5,9
11001003902,11,001,003902,2022,953,1069,1400,155,114,226,127
11001004001,11,001,004001,3941,1805,2136,2962,124,206,425,224
11001004002,11,001,004002,3291,1630,1661,2374,188,195,319,215
11001004100,11,001,004100,2836,1387,1449,2050,120,281,249,136
11001004201,11,001,004201,3548,1757,1791,2597,194,259,334,164
11001004202,11,001,004202,2850,1361,1489,2070,110,242,279,149
11001004300,11,001,004300,4436,2147,2289,2660,824,266,484,202
11001004401,11,001,004401,3430,1805,1625,2242,345,342,308,193
11001004402,11,001,004402,2755,1443,1312,1671,482,172,262,168
11001004600,11,001,004600,3543,1820,1723,1398,1512,175,271,187
11001004702,11,001,004702,3934,1866,2068,2183,769,414,343,225
11001004703,11,001,004703,3331,1500,1831,1541,793,478,358,161
11001004704,11,001,004704,1945,831,1114,84,1702,50,60,49
11001004801,11,001,004801,2820,1554,1266,1514,756,166,226,158
11001004802,11,001,004802,3634,1702,1932,1214,1524,406,342,148
11001004901,11,001,004901,3380,1707,1673,1646,987,156,435,156
11001004902,11,001,004902,3449,1678,1771,1653,772,270,587,167
11001005001,11,001,005001,2012,1093,919,1410,198,100,196,108
11001005003,11,001,005003,2143,956,1187,1251,373,191,211,117
11001005004,11,001,005004,3861,2034,1827,1604,773,280,1037,167
11001005202,11,001,005202,3408,1847,1561,2287,345,267,338,171
11001005203,11,001,005203,2979,1491,1488,1844,270,347,393,125
11001005302,11,001,005302,2518,1305,1213,1857,117,176,236,132
11001003600,11,001,003600,4775,2324,2451,2091,1350,273,795,266
11001003302,11,001,003302,2434,1241,1193,1245,720,98,200,171
11001003400,11,001,003400,5120,2008,3112,1977,1908,460,482,293
11001003500,11,001,003500,4801,2135,2666,1978,1582,385,604,252
11001003701,11,001,003701,2916,1395,1521,1330,526,142,737,181
11001003702,11,001,003702,2906,1386,1520,918,1086,135,642,125
11001003801,11,001,003801,1800,863,937,1146,208,113,252,81
11001003802,11,001,003802,3911,1938,1973,1979,640,295,816,181
11001003901,11,001,003901,2598,1197,1401,1564,329,183,373,149
11001000101,11,001,000101,1406,677,729,1054,47,90,140,75
11001000102,11,001,000102,3417,1591,1826,2711,56,176,316,158
11001000201,11,001,000201,4108,1864,2244,2399,339,621,456,293
11001000202,11,001,000202,4672,2182,2490,3492,184,396,357,243
11001000300,11,001,000300,6161,2804,3357,4533,248,482,557,341
11001000400,11,001,000400,1643,789,854,1214,82,122,165,60
11001000501,11,001,000501,3829,1700,2129,2624,230,315,451,209
11001000502,11,001,000502,3418,1527,1891,2528,105,217,365,203
11001000600,11,001,000600,4676,2126,2550,3492,226,268,394,296
11001000702,11,001,000702,3452,1527,1925,2079,276,413,445,239
11001000703,11,001,000703,3022,1270,1752,2119,246,229,285,143
11001000704,11,001,000704,2753,1154,1599,1699,234,238,423,159
11001000802,11,001,000802,3327,1579,1748,2178,208,386,330,225
11001000803,11,001,000803,3174,1275,1899,2169,168,274,391,172
11001000804,11,001,000804,3832,1749,2083,2774,197,322,294,245
11001000902,11,001,000902,2317,1105,1212,1826,76,93,173,149
11001000903,11,001,000903,4202,1686,2516,2416,415,671,583,117
11001000904,11,001,000904,3148,1506,1642,2509,131,126,187,195
11001001002,11,001,001002,3643,1554,2089,2374,344,369,336,220
11001001003,11,001,001003,3111,1506,1605,2443,78,130,240,220
11001001004,11,001,001004,4480,2039,2441,3222,228,323,420,287
11001007703,11,001,007703,5227,2223,3004,68,4672,8,263,216
11001007603,11,001,007603,4185,1864,2321,248,3618,16,121,182
11001007604,11,001,007604,3803,1703,2100,209,3251,19,126,198
11001007605,11,001,007605,3663,1651,2012,76,3336,28,80,143
11001007707,11,001,007707,3927,1761,2166,59,3577,9,159,123
11001007708,11,001,007708,2574,1113,1461,27,2403,10,52,82
11001007709,11,001,007709,2072,943,1129,74,1855,9,70,64
11001007803,11,001,007803,4590,2168,2422,125,3975,13,271,206
11001007804,11,001,007804,3499,1604,1895,65,3175,14,117,128
11001007806,11,001,007806,3457,1397,2060,104,3019,9,194,131
11001007807,11,001,007807,2114,1011,1103,36,1888,14,120,56
11001007808,11,001,007808,3792,1741,2051,64,3412,14,177,125
11001007809,11,001,007809,3155,1477,1678,66,2735,14,181,159
11001007901,11,001,007901,4148,1864,2284,1054,2591,86,198,219
11001007903,11,001,007903,1865,873,992,530,1107,54,90,84
11001008001,11,001,008001,3103,1488,1615,1837,791,83,207,185
11001008002,11,001,008002,3366,1602,1764,2175,686,107,193,205
11001008100,11,001,008100,3153,1510,1643,2387,234,143,200,189
11001008200,11,001,008200,2695,1219,1476,2079,181,104,183,148
11001008301,11,001,008301,3220,1551,1669,2249,372,188,219,192
11001008302,11,001,008302,3026,1457,1569,2086,434,126,190,190
11001008402,11,001,008402,2447,1115,1332,1374,693,66,176,138
11001008410,11,001,008410,1843,875,968,863,620,123,117,120
11001008701,11,001,008701,2814,1320,1494,988,1308,143,210,165
11001008702,11,001,008702,3574,1729,1845,1250,1543,198,340,243
11001008802,11,001,008802,4360,2061,2299,1248,2380,125,374,233
11001008803,11,001,008803,4036,2124,1912,1233,1945,188,451,219
11001008804,11,001,008804,2417,1143,1274,391,1596,42,253,135
11001008903,11,001,008903,3062,1381,1681,419,2226,45,260,112
11001008904,11,001,008904,3137,1471,1666,197,2506,33,292,109
11001009000,11,001,009000,4676,2005,2671,256,3791,131,277,221
11001009102,11,001,009102,4608,1989,2619,517,3440,73,375,203
11001009201,11,001,009201,3103,1399,1704,1356,941,161,454,191
11001009203,11,001,009203,2775,1292,1483,798,1531,98,226,122
11001009204,11,001,009204,2889,1335,1554,269,1719,33,750,118
11001009301,11,001,009301,3853,1877,1976,1360,1755,135,287,316
11001009302,11,001,009302,1750,840,910,569,737,64,267,113
11001009400,11,001,009400,4424,2111,2313,916,2817,71,358,262
11001009503,11,001,009503,3106,1453,1653,770,1876,76,198,186
11001001100,11,001,001100,5300,2352,2948,3707,386,398,451,358
11001001200,11,001,001200,5371,2420,2951,3722,402,379,535,333
11001001301,11,001,001301,4160,1907,2253,2509,590,426,375,260
11001001303,11,001,001303,3763,1665,2098,2437,386,371,338,231
11001001304,11,001,001304,4018,1714,2304,2897,214,299,395,213
11001001401,11,001,001401,3258,1515,1743,2339,213,230,258,218
11001001402,11,001,001402,3514,1629,1885,2355,442,221,293,203
11001001500,11,001,001500,6156,2889,3267,4602,549,193,456,356
11001001600,11,001,001600,4471,2105,2366,1278,2447,72,334,340
11001001702,11,001,001702,3356,1515,1841,1185,1449,104,380,238
11001001803,11,001,001803,4102,2005,2097,266,2195,53,1457,131
11001001804,11,001,001804,5500,2575,2925,408,2944,55,1929,164
11001001901,11,001,001901,4206,1885,2321,800,2162,124,875,245
11001001902,11,001,001902,2117,997,1120,433,1257,47,261,119
11001002001,11,001,002001,2926,1428,1498,587,1018,71,1106,144
11001002002,11,001,002002,4072,1956,2116,1033,1722,83,1022,212
11001002101,11,001,002101,5687,2723,2964,885,2586,115,1868,233
11001002102,11,001,002102,5099,2376,2723,805,2856,83,1074,281
11001002201,11,001,002201,3485,1716,1769,864,1687,85,683,166
11001002202,11,001,002202,3339,1655,1684,548,1594,54,1003,140
11001002301,11,001,002301,3266,1592,1674,956,1437,122,551,200
