GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
05035031100,05,035,031100,2080,967,1113,367,1636,5,33,39
05035030806,05,035,030806,4209,2025,2184,2599,1264,33,130,183
05035030807,05,035,030807,1682,816,866,786,776,4,47,69
05035031000,05,035,031000,1211,608,603,642,451,1,70,47
05035031200,05,035,031200,1423,688,735,40,1338,2,13,30
05037950100,05,037,950100,1058,502,556,417,573,0,24,44
05037950200,05,037,950200,3150,1567,1583,2799,168,2,46,135
05037950300,05,037,950300,1355,692,663,1282,0,0,29,44
05037950400,05,037,950400,2451,1264,1187,2151,176,3,39,82
05037950500,05,037,950500,4408,2000,2408,2011,2076,22,111,188
05037950600,05,037,950600,4411,2088,2323,3407,658,75,103,168
05039970100,05,039,970100,1185,582,603,774,339,2,20,50
05039970200,05,039,970200,1573,784,789,1190,278,0,56,49
05039970300,05,039,970300,3724,1777,1947,1461,1965,5,125,168
05041950100,05,041,950100,1342,686,656,947,273,0,71,51
05041950200,05,041,950200,4119,1955,2164,1601,1870,27,458,163
05041950300,05,041,950300,1247,555,692,81,1085,3,44,34
05041950400,05,041,950400,2792,1301,1491,1049,1498,24,96,125
05041950500,05,041,950500,1895,905,990,1054,659,7,104,71
05043490100,05,043,490100,2230,1120,1110,1728,344,3,84,71
05043490200,05,043,490200,2195,1033,1162,916,1122,3,63,91
05043490300,05,043,490300,5952,2861,3091,3693,1699,79,236,245
05043490400,05,043,490400,3076,1447,1629,1820,968,11,142,135
05043490500,05,043,490500,3897,1930,1967,2991,682,4,131,89
05045030101,05,045,030101,3310,1624,1686,2790,186,14,77,243
05045030102,05,045,030102,5990,2884,3106,5312,71,21,212,374
05045030103,05,045,030103,3741,1877,1864,3388,31,12,96,214
05045030104,05,045,030104,5576,2769,2807,5024,70,22,134,326
05045030201,05,045,030201,3235,1627,1608,2894,14,5,81,241
05045030202,05,045,030202,2847,1456,1391,2579,17,7,56,188
05045030301,05,045,030301,5944,2889,3055,4809,447,31,346,311
05045030302,05,045,030302,6189,3088,3101,5411,65,30,228,455
05045030303,05,045,030303,4810,2424,2386,4217,46,14,252,281
05045030401,05,045,030401,2580,1281,1299,1991,276,37,76,200
05045030402,05,045,030402,4136,2062,2074,3458,162,21,210,285
05045030403,05,045,030403,3954,1836,2118,2335,1084,96,193,246
05045030404,05,045,030404,2631,1206,1425,1621,622,38,179,171
05045030502,05,045,030502,4989,2420,2569,3001,1198,78,395,317
05045030503,05,045,030503,4825,2334,2491,3416,838,133,204,234
05045030504,05,045,030504,7257,3610,3647,5525,899,212,266,355
05045030600,05,045,030600,5336,2535,2801,4056,636,39,201,404
05045030701,05,045,030701,3541,1806,1735,2109,844,44,336,208
05131001305,05,131,001305,4549,2182,2367,3401,171,274,322,381
05131001306,05,131,001306,3964,1951,2013,2834,158,439,251,282
05131001307,05,131,001307,3313,1585,1728,2258,154,388,222,291
05131001308,05,131,001308,4126,2001,2125,2934,81,196,484,431
05131001309,05,131,001309,1855,901,954,1257,101,74,151,272
05131001310,05,131,001310,5273,2498,2775,3257,469,350,538,659
05131001311,05,131,001311,3775,1838,1937,3080,68,124,169,334
05131001312,05,131,001312,3964,1881,2083,2833,218,160,301,452
05131010101,05,131,010101,5921,2934,2987,5033,16,38,257,577
05131010102,05,131,010102,6312,3150,3162,5304,26,85,225,672
05131010201,05,131,010201,4969,2433,2536,4204,43,81,232,409
05045031001,05,045,031001,4033,1922,2111,2751,536,47,449,250
05045030702,05,045,030702,3660,1695,1965,2063,982,34,340,241
05045030800,05,045,030800,6249,2635,3614,3997,768,129,323,1032
05045030900,05,045,030900,3908,1974,1934,1904,968,60,624,352
05045031003,05,045,031003,2441,1164,1277,1531,428,16,303,163
05045031006,05,045,031006,4066,1977,2089,2710,856,59,182,259
05045031007,05,045,031007,3797,1772,2025,2610,633,111,218,225
05045031008,05,045,031008,4773,2318,2455,3505,707,126,210,225
05045031101,05,045,031101,4780,2481,2299,3817,226,11,447,279
05045031102,05,045,031102,4900,2456,2444,3749,664,14,152,321
05047950100,05,047,950100,3520,1804,1716,3180,21,26,61,232
05047950201,05,047,950201,3112,1586,1526,2796,9,11,90,206
05047950202,05,047,950202,3570,1717,1853,3094,15,27,173,261
05047950301,05,047,950301,3867,1985,1882,3469,8,83,90,217
05047950302,05,047,950302,3028,1430,1598,2662,25,15,77,249
05049550101,05,049,550101,3338,1659,1679,3133,4,13,33,155
05049550102,05,049,550102,2406,1209,1197,2214,7,5,43,137
05139950401,05,139,950401,2312,1178,1134,1696,338,5,189,84
05139950402,05,139,950402,3423,1697,1726,2702,511,18,75,117
05139950501,05,139,950501,3386,1695,1691,3010,132,5,103,136
05131010202,05,131,010202,3839,1832,2007,3200,19,29,202,389
05131010301,05,131,010301,6441,3256,3185,5359,39,101,237,705
05131010303,05,131,010303,2422,1229,1193,2051,30,44,97,200
05131010304,05,131,010304,3644,1849,1795,3133,12,36,94,369
05133080100,05,133,080100,3579,1808,1771,2411,25,11,865,267
05133080200,05,133,080200,4013,2000,2013,2542,52,6,1073,340
05133080300,05,133,080300,5947,2948,2999,1693,270,39,3422,523
05133080400,05,133,080400,2300,1169,1131,1754,203,4,148,191
05135470100,05,135,470100,1760,920,840,1598,3,4,19,136
05135470201,05,135,470201,2489,1211,1278,2281,5,5,49,149
05135470202,05,135,470202,3038,1446,1592,2770,14,24,66,164
05135470300,05,135,470300,3960,1937,2023,3612,10,10,88,240
05135470401,05,135,470401,2946,1504,1442,2693,51,11,48,143
05135470402,05,135,470402,3078,1503,1575,2775,31,3,92,177
05137950100,05,137,950100,3748,1892,1856,3472,4,6,88,178
05137950201,05,137,950201,1660,816,844,1522,3,1,32,102
05137950203,05,137,950203,2481,1234,1247,2261,3,0,60,157
05137950204,05,137,950204,4470,2109,2361,4132,11,18,91,218
05139950100,05,139,950100,2786,1352,1434,1478,1120,1,70,117
05139950200,05,139,950200,3983,1989,1994,3104,567,11,112,189
05139950300,05,139,950300,2190,1062,1128,1525,480,3,55,127
05049550201,05,049,550201,3379,1601,1778,3073,9,7,52,238
05049550202,05,049,550202,2952,1492,1460,2781,7,10,26,128
05051010301,05,051,010301,4163,2032,2131,3178,218,12,393,362
05051010302,05,051,010302,1875,938,937,1560,17,6,115,177
05051010401,05,051,010401,3903,1908,1995,3554,52,20,134,143
05051010402,05,051,010402,3762,1898,1864,3262,44,21,149,286
05051010501,05,051,010501,4299,2186,2113,3697,133,30,187,252
05051010502,05,051,010502,2196,1084,1112,1885,25,4,126,156
05051010601,05,051,010601,1537,749,788,1284,30,5,107,111
05051010602,05,051,010602,2253,1034,1219,758,1049,6,224,216
05051010700,05,051,010700,1552,747,805,1017,250,8,137,140
05051010800,05,051,010800,2248,1039,1209,1496,420,45,110,177
05051010900,05,051,010900,3356,1589,1767,2110,546,25,325,350
