GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
02013000100,02,013,000100,3420,2371,1049,658,297,771,674,1020
02016000100,02,016,000100,978,636,342,259,36,19,74,590
02016000200,02,016,000200,4254,2796,1458,1326,221,1483,594,630
02020000101,02,020,000101,5650,2951,2699,4355,35,82,310,868
02020000102,02,020,000102,5215,2692,2523,3781,37,171,325,901
02020000201,02,020,000201,4318,2189,2129,2860,129,139,414,776
02020000202,02,020,000202,6384,3251,3133,4715,145,142,479,903
02020000204,02,020,000204,3582,1724,1858,2738,44,74,190,536
02020000205,02,020,000205,7421,3699,3722,5434,176,187,670,954
02020000206,02,020,000206,3413,1755,1658,2584,43,70,217,499
02020000500,02,020,000500,2124,1106,1018,982,137,180,224,601
02020000601,02,020,000601,4328,2241,2087,1058,486,391,599,1794
02020000602,02,020,000602,2716,1351,1365,540,383,302,337,1154
02020000701,02,020,000701,6986,3456,3530,2535,685,851,835,2080
02020000702,02,020,000702,5435,2693,2742,1979,632,679,528,1617
02020000703,02,020,000703,5555,2776,2779,1798,435,1090,600,1632
02020000801,02,020,000801,6814,3431,3383,2082,477,1082,825,2348
02020000802,02,020,000802,4759,2386,2373,1687,344,761,607,1360
02020000901,02,020,000901,5090,2883,2207,1192,493,633,705,2067
02020000902,02,020,000902,3158,1515,1643,1169,384,336,431,838
02020001000,02,020,001000,3942,2240,1702,1856,299,268,347,1172
02020001100,02,020,001100,1657,1175,482,807,127,76,132,515
02020001200,02,020,001200,3749,1783,1966,2934,57,129,166,463
02020001300,02,020,001300,3227,1585,1642,2496,33,110,175,413
02020001401,02,020,001401,2928,1560,1368,1408,152,278,288,802
02020001402,02,020,001402,2168,1104,1064,851,221,248,222,626
02020001500,02,020,001500,5165,2635,2530,3312,184,353,292,1024
02020001601,02,020,001601,3824,1837,1987,2035,233,393,283,880
02020001602,02,020,001602,4191,2121,2070,2179,226,250,327,1209
02170001004,02,170,001004,5182,2625,2557,4042,58,66,233,783
02170000900,02,170,000900,3020,1417,1603,2333,25,68,118,476
02170001001,02,170,001001,4391,2240,2151,3400,32,54,214,691
02170001003,02,170,001003,4128,2076,2052,2985,29,86,269,759
02170001100,02,170,001100,7354,3745,3609,5584,114,120,412,1124
02170001201,02,170,001201,5621,2773,2848,4089,81,101,389,961
02170001202,02,170,001202,5025,2536,2489,3618,60,58,264,1025
02170001300,02,170,001300,5885,3002,2883,4873,18,48,157,789
02180000100,02,180,000100,6140,3263,2877,337,19,26,52,5706
02180000200,02,180,000200,3906,2023,1883,1056,33,83,134,2600
02185000100,02,185,000100,4934,2565,2369,671,70,591,173,3429
02185000200,02,185,000200,3367,1759,1608,300,13,2,25,3027
02185000300,02,185,000300,2730,2516,214,1993,76,43,350,268
02188000100,02,188,000100,4691,2493,2198,193,8,5,25,4460
02188000200,02,188,000200,3102,1591,1511,491,63,48,77,2423
02195000200,02,195,000200,3398,1769,1629,2444,46,117,164,627
02198000100,02,198,000100,2069,1156,913,1059,9,4,45,952
02198000200,02,198,000200,2051,1104,947,1095,7,21,67,861
02198000300,02,198,000300,71,39,32,63,1,0,2,5
02198940100,02,198,940100,1562,848,714,151,4,0,46,1361
02220000100,02,220,000100,3230,1672,1558,2070,4,121,179,856
02220000200,02,220,000200,5228,2639,2589,2980,33,452,322,1441
02230000100,02,230,000100,1240,637,603,1056,6,39,41,98
02240000100,02,240,000100,2113,1100,1013,1159,5,15,50,884
02240000400,02,240,000400,4695,2625,2070,3834,63,72,326,400
02275000300,02,275,000300,2127,1096,1031,1341,0,25,76,685
02282000100,02,282,000100,662,376,286,248,2,32,29,351
02290000100,02,290,000100,1086,573,513,116,0,0,8,962
02290000200,02,290,000200,1478,778,700,632,2,3,21,820
02290000300,02,290,000300,1708,905,803,192,0,5,15,1496
02290000400,02,290,000400,1071,579,492,181,4,0,28,858
02020001732,02,020,001732,6111,3062,3049,3139,432,501,528,1511
02020001701,02,020,001701,6824,3309,3515,3562,508,560,547,1647
02020001702,02,020,001702,4940,2433,2507,2826,291,349,347,1127
02020001731,02,020,001731,6119,2896,3223,2539,464,743,508,1865
02020001801,02,020,001801,4372,2239,2133,2158,185,500,435,1094
02020001802,02,020,001802,5379,2821,2558,2075,264,957,621,1462
02020001900,02,020,001900,3873,2035,1838,1357,274,696,451,1095
02020002000,02,020,002000,3315,1737,1578,1209,171,493,427,1015
02020002100,02,020,002100,3686,1900,1786,1937,153,352,255,989
02020002201,02,020,002201,4742,2308,2434,2584,119,778,312,949
02020002202,02,020,002202,2931,1478,1453,1546,72,282,297,734
02020002301,02,020,002301,7653,3845,3808,4847,168,864,452,1322
02020002302,02,020,002302,4641,2266,2375,2472,105,363,360,1341
02020002304,02,020,002304,6312,3095,3217,3214,178,729,468,1723
02020002305,02,020,002305,2647,1279,1368,1122,122,444,286,673
02020002400,02,020,002400,3039,1557,1482,1646,98,380,212,703
02020002501,02,020,002501,4928,2519,2409,2567,173,453,558,1177
02020002502,02,020,002502,4947,2460,2487,2489,236,508,446,1268
02020002601,02,020,002601,5035,2540,2495,1996,252,942,495,1350
