GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
06073013312,06,073,013312,2798,1320,1478,350,64,158,2097,129
06073013315,06,073,013315,3431,1668,1763,745,183,727,1580,196
06073013316,06,073,013316,7461,3582,3879,1370,349,1662,3650,430
06073013317,06,073,013317,16159,7889,8270,1972,1462,5697,5817,1211
06073013318,06,073,013318,7876,3833,4043,1064,653,2153,3479,527
06073013319,06,073,013319,7458,3656,3802,1386,546,1466,3562,498
06073013320,06,073,013320,6556,3147,3409,1166,586,1260,3045,499
06073013321,06,073,013321,8312,4069,4243,1076,632,2176,3835,593
06073013322,06,073,013322,4635,2265,2370,788,317,1139,2076,315
06073013323,06,073,013323,6428,3146,3282,943,373,1790,2930,392
06073013324,06,073,013324,2644,1290,1354,327,242,509,1394,172
06073013325,06,073,013325,5367,2511,2856,794,419,1293,2545,316
06073013326,06,073,013326,4478,2256,2222,413,169,2018,1679,199
06073013327,06,073,013327,5401,2711,2690,966,346,1391,2457,241
06073013401,06,073,013401,4499,2182,2317,1258,61,237,2726,217
06073013409,06,073,013409,5590,2791,2799,1281,330,616,3037,326
06073013411,06,073,013411,5270,2530,2740,1718,119,681,2435,317
06073013412,06,073,013412,5187,2452,2735,1287,170,768,2697,265
06073013414,06,073,013414,7375,3588,3787,1445,290,1322,3859,459
06087121000,06,087,121000,3579,1841,1738,2871,6,148,328,226
06087120901,06,087,120901,3450,1680,1770,2595,23,214,372,246
06087120902,06,087,120902,5231,2624,2607,3511,32,397,832,459
06087121100,06,087,121100,3041,1489,1552,2297,16,74,471,183
06087121200,06,087,121200,6914,3454,3460,5234,52,327,726,575
06087121300,06,087,121300,4210,2003,2207,2519,39,145,1247,260
06087121401,06,087,121401,2691,1353,1338,1634,42,137,660,218
06087121402,06,087,121402,4109,2018,2091,2166,24,214,1437,268
06087121403,06,087,121403,3355,1678,1677,2034,50,106,938,227
06087121501,06,087,121501,2859,1340,1519,1974,25,68,580,212
06087121502,06,087,121502,2085,1040,1045,1204,39,71,632,139
06087121601,06,087,121601,3455,1775,1680,2468,19,84,616,268
06087121602,06,087,121602,2777,1343,1434,1698,19,70,814,176
06087121701,06,087,121701,4059,1896,2163,2522,44,211,992,290
06087121702,06,087,121702,3462,1739,1723,1938,35,216,1061,212
06087121801,06,087,121801,2007,931,1076,1474,23,77,288,145
06087121802,06,087,121802,2660,1198,1462,1789,23,110,581,157
06087122001,06,087,122001,5135,2544,2591,3740,37,172,850,336
06087122002,06,087,122002,3548,1780,1768,2738,32,112,398,268
06087122004,06,087,122004,2941,1422,1519,2005,23,147,570,196
