GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
10005050805,10,005,050805,3038,1468,1570,2456,117,24,353,88
10005050804,10,005,050804,4188,2048,2140,3319,383,46,234,206
10005050806,10,005,050806,4454,2138,2316,3552,288,74,331,209
10005050807,10,005,050807,1824,855,969,1599,39,42,79,65
10005050808,10,005,050808,4150,1887,2263,3397,138,73,387,155
10005050903,10,005,050903,2161,1001,1160,1887,94,28,109,43
10005050904,10,005,050904,2592,1100,1492,2213,122,17,102,138
10005050905,10,005,050905,2848,1378,1470,2527,49,40,109,123
10005051008,10,005,051008,4100,1900,2200,3482,110,55,283,170
10005051009,10,005,051009,2313,1163,1150,1864,198,55,108,88
10005051010,10,005,051010,2795,1320,1475,2441,60,41,125,128
10005051011,10,005,051011,3580,1681,1899,2924,146,136,203,171
10005051012,10,005,051012,1908,860,1048,1685,39,39,54,91
10005051013,10,005,051013,3686,1717,1969,3197,141,57,116,175
10005051014,10,005,051014,1881,895,986,1722,29,30,47,53
10005051015,10,005,051015,1877,869,1008,1621,31,23,124,78
10005051016,10,005,051016,1879,943,936,1721,18,26,68,46
10005051017,10,005,051017,3804,1863,1941,3260,89,73,231,151
10005051101,10,005,051101,629,334,295,581,4,4,21,19
10005051102,10,005,051102,1029,551,478,968,7,12,25,17
10005051103,10,005,051103,952,455,497,877,1,4,20,50
10005051201,10,005,051201,1513,717,796,1400,5,12,53,43
10005051202,10,005,051202,856,390,466,788,4,7,23,34
10005051203,10,005,051203,792,345,447,753,3,8,13,15
10005051204,10,005,051204,652,305,347,621,0,5,9,17
10005051205,10,005,051205,580,277,303,537,6,11,8,18
10005051302,10,005,051302,4907,2337,2570,4264,174,51,230,188
10005051307,10,005,051307,2975,1420,1555,2739,35,34,72,95
10005051308,10,005,051308,4074,1987,2087,3724,49,23,138,140
10005051309,10,005,051309,1488,697,791,1392,21,17,19,39
10005051310,10,005,051310,1933,933,1000,1803,34,20,35,41
10003013300,10,003,013300,1907,906,1001,1433,79,58,266,71
10003013400,10,003,013400,2504,1220,1284,2001,108,69,212,114
10003013501,10,003,013501,7213,3381,3832,5858,218,657,213,267
10003013505,10,003,013505,3489,1684,1805,2601,97,579,87,125
10003013506,10,003,013506,4567,2273,2294,3792,151,366,123,135
10003013507,10,003,013507,1819,884,935,1345,38,266,90,80
10003013508,10,003,013508,5655,2796,2859,4152,208,733,304,258
10003013604,10,003,013604,4156,1975,2181,3287,270,154,275,170
10003013607,10,003,013607,6255,2856,3399,4131,454,1030,354,286
10003013608,10,003,013608,1959,967,992,1418,201,76,198,66
10003013610,10,003,013610,5460,2729,2731,4200,211,582,223,244
10003013611,10,003,013611,5572,2655,2917,3946,688,322,351,265
10003013612,10,003,013612,6158,2922,3236,4170,228,1242,256,262
10003013613,10,003,013613,5657,2648,3009,4334,328,411,349,235
10003013614,10,003,013614,3258,1580,1678,1743,341,93,986,95
10003013615,10,003,013615,4107,1944,2163,2526,296,131,971,183
