GEOID,state,county,tract,total_pop,male,female,white_non_hispanic,black_non_hispanic,asian_non_hispanic,hispanic,other
08039961205,08,039,961205,2107,1081,1026,1736,10,8,216,137
08039961206,08,039,961206,3521,1734,1787,3010,15,31,267,198
08039961208,08,039,961208,3985,1962,2023,3393,10,27,306,249
08039961209,08,039,961209,2386,1203,1183,2124,7,8,134,113
08041000102,08,041,000102,3413,1687,1726,2465,83,33,584,248
08041000103,08,041,000103,3025,1402,1623,1950,215,88,536,236
08041000104,08,041,000104,3484,1691,1793,2503,161,80,502,238
08041000202,08,041,000202,4472,2285,2187,3144,171,64,753,340
08041000203,08,041,000203,4425,2260,2165,3212,144,94,672,303
08041000301,08,041,000301,3262,1612,1650,2141,101,40,776,204
08041000302,08,041,000302,4360,2248,2112,2652,242,76,1066,324
08041000400,08,041,000400,2486,1143,1343,1971,62,15,303,135
08041000500,08,041,000500,2016,959,1057,1637,36,28,207,108
08041000600,08,041,000600,3227,1572,1655,2310,98,28,545,246
08041000700,08,041,000700,3325,1599,1726,2179,260,45,594,247
08041000800,08,041,000800,2606,1232,1374,1908,94,24,400,180
08041000900,08,041,000900,2269,1058,1211,1884,28,18,197,142
08041001000,08,041,001000,2301,1059,1242,1973,19,16,158,135
08041001101,08,041,001101,1347,703,644,901,53,16,272,105
08041001104,08,041,001104,3349,1620,1729,2317,125,57,592,258
08041001301,08,041,001301,2203,1146,1057,1698,33,29,268,175
08041001302,08,041,001302,5392,2640,2752,3908,167,49,878,390
08041001400,08,041,001400,3365,1673,1692,2637,38,43,440,207
08041001500,08,041,001500,2453,1261,1192,1748,84,24,423,174
08041001600,08,041,001600,3648,1754,1894,2652,139,244,349,264
08041001700,08,041,001700,1733,841,892,1228,84,31,237,153
08041001800,08,041,001800,1967,924,1043,1578,27,24,226,112
08041001901,08,041,001901,2126,1026,1100,1451,86,19,387,183
08041001902,08,041,001902,2276,1110,1166,1197,219,36,631,193
08041002000,08,041,002000,6759,3442,3317,3920,479,135,1591,634
08041002101,08,041,002101,3972,2021,1951,2249,387,62,896,378
08041002102,08,041,002102,4989,2553,2436,2381,417,82,1744,365
08041002200,08,041,002200,2719,1356,1363,1678,225,44,571,201
08041002300,08,041,002300,2139,1275,864,1447,189,39,309,155
08041002401,08,041,002401,2807,1200,1607,2215,43,33,354,162
