state,ufactor,niter,objtype,seed,compactness_mean,compactness_std,compactness_min,compactness_max,pop_max_deviation,pop_mean_deviation,pop_std_deviation
AL,5,100,cut,1,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,2,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,3,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,4,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,5,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,6,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,7,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,8,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,9,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,10,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,11,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,12,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,13,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,14,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,15,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,16,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,17,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,18,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,19,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,20,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,21,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,22,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,23,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,24,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,25,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,26,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,27,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,28,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,29,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,30,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,31,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,32,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,33,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,34,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,35,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,36,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,37,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,38,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,39,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,40,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,41,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,42,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,43,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,44,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,45,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,46,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
AL,5,100,cut,47,0.24845402085466667,0.05859534886287909,0.12803581101675587,0.3100743669521841,0.13359130732986996,0.05428497444963788,0.045336271215995295
